OTU	SB081213TAWMD03VV4TM	SB081213TAWMD05VV4TM	SB081213TAWMD07VV4TM	SB081213TAWMD09VV4TM	SB081213TAWMD11VV4TM	SB081213TAWMD13VV4TM	SB081213TAWMD15VV4TM	SB081213TAWMD17VV4TM	SB081213TAWMD20VV4TM	SB081213TAWMD21VV4TM	SB081213TAWMD22VV4TM	Kingdom	Phylum	Class	Order	Family	Genus
seq22803	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	3.59216734252	-1.22638640373	-0.360883783868	-2.03621796349	4.26196229044	-3.13404209219	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
seq338078	-1.24957194008	-0.065372611268	-2.55227590383	4.70506413394	-3.31658743679	-1.22638640373	-0.360883783868	-2.03621796349	-2.64679248888	-3.13404209219	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__Methylophilaceae	g__Methylophilus
seq7008	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	3.59216734252	-1.22638640373	-0.360883783868	-2.03621796349	-2.64679248888	-3.13404209219	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
seq51290	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	-3.31658743679	-1.22638640373	-0.360883783868	4.87253681583	4.26196229044	3.77471268713	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax
seq414	-1.24957194008	-0.065372611268	-2.55227590383	4.70506413394	7.81392520403	9.11538833728	8.03129074311	9.06708017322	8.77183328557	8.26236079242	8.00625154194	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__
seq9193	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	4.28481489779	-1.22638640373	-0.360883783868	-2.03621796349	-2.64679248888	-3.13404209219	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
seq23062	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	4.78319695166	-1.22638640373	-0.360883783868	-2.03621796349	-2.64679248888	3.77471268713	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
seq15336	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	3.59216734252	5.68236837558	-0.360883783868	5.4195146127	-2.64679248888	3.77471268713	4.71137713992	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__
seq4459	5.65918283923	-0.065372611268	4.35647887549	-2.20369064537	-3.31658743679	-1.22638640373	-0.360883783868	4.87253681583	6.82598906768	6.81828324243	6.09692196946	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__
seq542	-1.24957194008	-0.065372611268	4.35647887549	4.70506413394	-3.31658743679	-1.22638640373	-0.360883783868	6.73693462663	7.99865621763	7.7627157517	6.90771332186	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
seq17793	-1.24957194008	-0.065372611268	-2.55227590383	5.79770055542	-3.31658743679	-1.22638640373	-0.360883783868	-2.03621796349	-2.64679248888	-3.13404209219	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
seq13752	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	-3.31658743679	-1.22638640373	-0.360883783868	-2.03621796349	-2.64679248888	4.46736024239	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
seq5070	5.65918283923	-0.065372611268	-2.55227590383	-2.20369064537	-3.31658743679	-1.22638640373	-0.360883783868	4.87253681583	-2.64679248888	-3.13404209219	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax
seq6156	-1.24957194008	-0.065372611268	5.84531387959	-2.20369064537	-3.31658743679	6.37501593085	-0.360883783868	4.87253681583	6.5636478781	6.17169936455	5.40402469519	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax
seq31804	-1.24957194008	-0.065372611268	4.35647887549	-2.20369064537	-3.31658743679	-1.22638640373	-0.360883783868	-2.03621796349	-2.64679248888	-3.13404209219	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
seq2948	-1.24957194008	-0.065372611268	7.18111837203	8.50792016252	8.47250544883	7.47329499726	-0.360883783868	4.87253681583	-2.64679248888	3.77471268713	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__
seq16870	-1.24957194008	-0.065372611268	5.04912643076	-2.20369064537	4.78319695166	7.06791320512	7.5426020743	6.36635001852	6.90009154574	6.07639827479	5.40402469519	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__
seq3225	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	5.57818673228	-1.22638640373	-0.360883783868	4.87253681583	4.95460984571	4.87265875325	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__
seq5605	-1.24957194008	-0.065372611268	-2.55227590383	-2.20369064537	-3.31658743679	-1.22638640373	-0.360883783868	5.5651843711	4.26196229044	4.46736024239	-2.19737763939	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__Methylophilaceae	g__Methylophilus
seq497	-1.24957194008	-0.065372611268	8.72614240851	7.34092068279	7.64319787157	8.24639515283	7.64581706157	8.59212149717	8.37185304759	8.14317369741	8.11160835403	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__
