UniqueCount	AmbigCount
9	0
26	0
1	0
3	0
0	0
7	0
2	0
2	0
0	0
0	0
2	0
1	0
0	0
4	0
2	0
1	0
13	1
2	0
3	0
2	0
3	1
3	3
1	1
6	1
3	0
9	5
7	4
9	2
4	0
21	0
4	5
1	0
2	2
7	2
0	4
5	0
0	0
1	0
4	0
4	0
14	1
21	0
7	0
0	0
1	0
1	0
1	0
0	0
3	0
1	0
1	0
5	0
11	0
1	0
3	0
3	0
0	0
2	0
2	0
9	0
0	0
2	0
2	0
3	0
6	0
6	1
2	0
5	0
2	0
6	2
0	0
2	0
8	0
2	0
5	0
0	0
0	0
15	0
5	0
4	0
6	0
10	0
8	0
7	0
2	1
20	1
2	0
0	0
0	0
1	0
1	0
2	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
13	0
5	0
9	0
0	0
0	0
1	0
4	0
3	0
1	0
2	0
17	1
1	0
11	0
5	0
6	2
3	0
3	0
1	0
13	0
4	0
0	0
2	0
14	1
1	0
4	0
2	0
4	1
2	0
0	1
13	0
4	2
5	6
1	0
20	0
12	2
0	0
3	0
5	0
5	0
5	0
6	2
2	0
2	0
2	0
1	0
0	0
0	0
0	0
2	0
1	0
0	0
6	0
14	0
12	0
3	0
26	0
7	0
0	0
3	0
1	0
3	0
1	0
4	0
0	0
2	0
1	0
9	0
1	0
5	0
13	0
0	0
7	0
26	0
14	0
6	0
13	0
12	0
2	0
13	0
1	0
2	0
6	0
2	0
2	0
1	0
1	0
0	0
1	0
1	0
2	0
1	0
0	0
1	0
4	0
0	0
0	0
2	0
17	5
3	0
3	0
5	0
3	1
3	0
2	0
0	0
1	1
12	2
1	1
0	0
1	0
5	0
1	0
0	0
5	0
0	1
2	1
0	0
0	0
3	0
0	0
0	0
0	0
0	0
2	0
5	0
5	0
5	0
17	0
8	0
3	0
13	1
4	1
6	0
0	0
1	0
5	0
3	0
3	0
3	1
3	0
2	0
2	0
0	0
0	0
0	0
2	0
1	0
0	2
0	2
0	0
8	0
3	0
0	0
0	0
1	1
10	0
0	0
2	0
29	1
4	0
1	0
1	0
3	0
0	0
0	0
3	0
0	0
0	0
3	0
32	5
5	0
7	1
3	0
11	4
3	2
0	0
0	0
5	1
2	0
8	5
5	4
1	0
2	0
6	1
7	2
3	2
0	0
2	1
1	0
2	0
1	0
3	0
14	0
4	0
1	0
1	0
3	0
1	0
1	0
2	0
0	1
9	0
5	0
0	0
6	0
3	0
0	0
5	0
0	0
5	0
14	0
21	4
0	0
3	0
2	0
3	0
0	0
11	0
2	0
3	0
18	1
10	0
5	0
3	0
18	1
5	1
5	0
1	0
4	0
12	0
19	0
7	0
8	0
8	0
1	0
8	0
6	2
21	3
0	0
0	0
0	0
1	0
1	0
3	0
10	0
4	0
3	0
1	0
22	0
16	3
1	4
3	0
5	1
1	1
7	0
0	0
6	0
4	0
0	0
0	1
2	1
3	0
4	0
8	0
7	2
0	0
5	0
3	0
7	3
16	0
7	1
8	1
14	0
14	0
14	0
5	0
11	0
0	0
40	7
0	0
0	0
0	1
0	0
0	0
21	2
10	2
1	0
5	0
8	0
10	0
0	1
1	0
0	0
0	0
0	0
0	0
1	0
2	0
5	0
28	4
2	0
0	0
0	0
2	0
6	3
0	0
3	0
8	0
3	2
0	4
11	2
0	0
0	0
3	0
7	0
1	3
0	3
3	0
11	0
4	1
3	0
0	1
4	1
3	0
0	0
1	2
7	0
16	1
4	0
0	0
0	0
14	0
2	0
6	1
1	0
2	0
3	0
3	0
53	3
11	1
0	0
1	0
6	0
0	0
1	0
2	0
0	0
1	0
0	0
2	1
5	0
5	0
0	0
2	0
0	0
1	2
0	0
0	0
2	0
2	0
1	3
5	0
13	0
0	1
0	0
1	0
2	0
3	0
3	1
7	0
5	0
1	0
0	0
0	0
3	0
0	1
5	0
2	0
12	0
3	2
7	1
0	0
52	0
0	0
1	0
1	3
0	3
1	5
2	0
4	0
0	0
1	0
17	5
0	0
8	0
19	0
19	0
1	0
0	0
1	0
1	0
3	2
3	0
0	0
1	1
3	0
5	35
2	0
17	0
0	0
2	0
1	0
19	1
2	0
21	1
2	0
0	0
0	1
0	0
9	0
24	0
0	0
0	0
10	0
0	0
14	0
13	1
2	0
0	0
2	0
0	0
2	1
1	0
15	1
3	0
3	0
3	0
1	0
7	0
2	0
1	0
0	0
2	0
1	0
2	0
8	1
2	1
1	0
3	1
3	1
9	0
3	1
4	3
1	0
0	0
1	0
0	2
