UniqueCount	AmbigCount
0	0
10	1
5	0
2	0
0	0
5	0
5	0
1	0
2	0
1	0
1	0
0	0
0	0
0	0
0	0
2	0
5	2
1	0
0	0
1	1
2	1
2	0
3	1
2	0
2	2
6	3
4	3
3	1
1	0
8	0
2	2
1	0
1	0
1	0
0	0
4	1
0	0
1	0
1	0
1	0
5	0
5	0
15	0
1	0
2	0
1	0
0	0
2	0
4	0
1	0
3	0
5	0
2	0
4	0
12	0
9	0
2	0
7	0
7	0
0	0
1	0
0	0
0	0
1	0
7	0
3	0
0	0
0	0
3	0
2	0
0	0
3	0
0	0
1	0
5	0
0	0
2	0
12	0
1	0
0	0
2	0
8	0
6	0
0	0
25	0
81	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	1
0	0
2	0
7	0
11	0
4	0
1	0
0	0
0	0
0	0
1	0
2	0
12	0
6	0
1	0
5	0
1	0
8	4
1	1
0	0
0	3
10	1
1	1
0	0
2	0
2	0
0	0
2	0
0	0
0	0
0	0
1	1
8	0
2	1
1	3
1	0
9	1
5	1
0	0
1	0
1	0
0	0
2	1
2	0
1	0
0	0
2	0
0	0
2	0
0	0
4	0
1	0
0	0
0	0
0	0
5	0
3	0
2	0
9	0
8	0
0	0
2	0
9	0
14	0
0	0
6	0
0	0
1	0
0	0
1	1
0	0
14	0
2	0
7	0
3	0
15	0
14	0
2	1
7	0
1	0
0	0
8	0
6	0
0	0
4	0
1	0
4	0
2	0
0	0
0	0
0	1
0	0
1	0
0	0
0	0
0	0
6	0
1	0
0	0
4	0
6	2
0	0
4	0
2	0
0	0
2	0
0	0
0	0
0	0
37	1
5	0
0	0
1	0
0	0
0	0
0	0
1	1
0	0
2	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
11	0
19	0
23	0
18	0
52	1
39	1
10	0
60	0
9	0
19	0
3	0
1	0
1	0
2	0
1	0
2	0
1	0
2	0
3	0
0	0
0	0
0	0
2	0
2	0
0	0
0	0
1	0
8	0
2	0
1	0
0	0
0	0
12	0
0	0
1	0
11	2
2	0
2	0
1	0
1	0
0	0
0	0
0	0
1	0
1	0
3	0
13	5
0	1
9	0
3	0
11	2
2	2
0	0
1	0
2	0
0	2
8	1
1	3
2	0
0	0
1	2
1	0
0	0
0	0
