UniqueCount	AmbigCount
16	0
19	1
8	0
6	0
0	0
27	0
199	0
91	0
89	0
0	1
24	0
2	0
15	1
38	3
47	0
16	0
47	0
133	1
16	0
18	1
6	3
42	12
13	2
8	1
20	1
16	3
47	1
46	1
93	6
49	1
38	0
47	11
8	0
49	1
40	10
1	22
10	4
6	0
2	0
6	0
2	0
20	0
43	0
307	0
80	0
250	1
132	1
133	0
5	0
1	0
3	0
1	0
4	0
3	0
106	0
0	0
0	0
1	0
1	0
1	0
0	0
0	0
8	0
11	1
2	0
2	0
1	0
0	0
7	0
10	4
2	0
7	0
8	0
5	0
1	0
2	0
7	0
0	0
25	0
19	2
1	0
34	0
18	0
4	0
11	0
13	0
9	0
6	0
17	0
2	0
4	0
29	0
4	0
15	1
10	0
13	0
4	0
18	0
2	0
0	0
7	0
0	0
0	0
3	0
13	0
6	0
15	0
4	0
5	0
24	0
52	0
38	0
12	0
10	1
0	0
1	0
0	0
0	1
2	0
27	4
8	3
18	0
16	8
15	0
6	0
108	0
13	0
20	0
8	0
7	0
5	0
26	2
9	0
4	0
5	0
33	9
185	3
33	0
36	1
143	0
67	2
91	24
1	0
35	5
24	1
2	0
5	0
8	0
18	0
26	0
15	0
11	0
2	0
1	0
3	0
45	1
101	1
28	0
7	0
44	0
15	0
18	1
28	0
13	0
8	0
10	0
7	0
13	0
3	0
24	0
45	0
27	0
3	0
7	0
4	0
15	0
7	0
30	5
37	0
52	0
15	1
9	1
6	0
3	0
33	0
13	0
16	5
8	0
47	6
1	0
22	0
93	0
16	0
31	0
34	0
16	1
41	0
3	0
1	3
1	3
4	0
15	0
5	0
5	0
14	0
26	0
5	0
4	0
17	0
49	4
36	7
6	0
17	0
30	1
13	0
17	0
5	0
2	1
4	0
4	6
992	11
231	15
7	0
23	0
6	0
441	0
139	0
151	1
60	0
239	0
24	0
35	0
637	0
45	0
34	0
39	0
49	0
28	0
0	0
3	0
1	0
1	0
0	0
0	0
0	0
2	0
2	0
1	1
0	1
1	0
0	0
2	0
0	0
10	0
19	0
3	0
2	0
5	0
0	0
16	0
28	0
19	1
14	1
5	0
8	0
13	0
8	0
13	0
23	0
16	0
22	2
119	0
48	1
9	0
14	0
31	0
50	0
8	0
12	0
44	0
30	0
9	0
49	0
51	0
21	0
24	0
14	0
29	1
53	0
20	0
31	2
38	10
17	0
11	1
12	0
93	7
39	8
3	0
0	0
10	1
3	3
10	21
11	4
9	0
20	0
27	0
50	1
46	10
2	0
3	1
2	0
41	1
6	1
0	0
0	0
22	1
1	0
2	0
1	0
3	0
5	0
2	0
11	0
0	39
30	3
15	0
2	0
8	0
5	0
4	0
6	0
13	0
22	0
63	0
68	5
55	1
76	3
111	0
42	2
124	1
771	3
124	0
102	0
0	0
0	0
0	0
1	0
2	1
1	0
0	0
0	0
0	0
1	0
2	0
4	11
2	12
0	0
6	0
7	0
7	0
8	0
1	0
5	0
15	0
20	0
28	0
13	0
2	0
7	0
13	0
0	0
4	0
0	0
4	0
1	0
0	0
0	0
1	0
5	0
7	0
2	0
2	0
1	0
0	1
2	1
5	0
18	0
3	0
5	0
2	0
12	0
5	1
7	0
7	0
22	5
4	0
8	0
1	0
19	1
11	0
18	0
1	0
5	8
7	9
15	1
0	0
2	0
0	0
4	2
4	0
11	0
95	33
2	0
1	0
4	0
1	0
5	0
17	1
1	0
0	0
3	0
179	3
76	0
7	0
3	0
6	0
20	0
1	0
14	0
21	0
5	2
4	0
5	0
9	0
7	2
34	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
1	0
6	0
23	0
25	0
3	0
0	0
2	0
3	0
9	5
18	1
2	1
0	0
12	5
7	0
1	0
14	0
117	0
1	5
1	0
1	0
8	0
14	1
6	1
11	0
8	0
1	0
5	0
2	0
9	0
11	0
13	0
64	1
0	0
6	0
0	0
0	0
0	0
24	0
7	0
7	0
1	0
24	0
12	0
8	0
7	0
7	0
20	3
13	0
13	0
20	0
26	4
11	0
44	0
18	0
1	1
0	0
0	1
4	0
2	1
2	3
0	0
0	0
4	0
0	0
0	0
27	0
0	0
3	0
6	0
7	1
4	0
14	0
10	1
14	0
4	0
1	0
10	0
13	0
26	0
5	0
9	0
1	0
689	33
21	0
0	0
17	1
2	0
9	0
6	2
19	2
106	41
6	0
0	0
10	0
14	0
10	0
1	0
25	6
2	4
18	0
11	0
0	0
1	0
8	0
2	0
3	0
0	0
13	6
2	1
2	0
14	15
8	0
17	29
2	0
8	0
8	0
12	0
5	0
5	0
10	0
4	0
2	0
6	0
60	1
5	1
1	0
7	0
7	0
1	0
1	0
41	0
5	0
59	5
3	1
1	1
24	0
7	0
14	0
0	0
3	0
2	0
11	1
17	0
6	0
18	0
0	0
1	0
17	0
2	0
2	0
8	0
10	0
5	0
0	0
0	0
4	0
6	2
10	0
3	0
1	0
1	0
2	0
3	0
0	0
42	1
0	1
0	1
10	0
2	1
15	2
0	0
0	0
6	0
14	0
6	1
7	2
8	3
3	0
30	0
5	0
8	4
0	0
3	3
24	0
119	0
0	0
1	0
521	0
2	0
3	0
29	1
0	0
1	0
2	0
0	0
10	0
10	0
17	2
2	0
9	0
5	0
3	0
11	9
47	1
5	0
48	0
15	0
2	1
9	1
10	0
83	0
375	42
8	0
8	1
4	1
53	0
9	0
12	0
3	0
4	4
3	0
3	0
7	1
15	0
55	0
44	0
44	0
2	0
4	0
