Gene_Sequence	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin_1_GOOLCNIJ_01258	49.882019	40.411438	0.0	29.290219	43.750914	26.993058	20.471888	47.959472	270.982761	170.814636	215.322665	251.334542	209.419502	188.405079	53.223917	0.0	17.758209
bin_1_GOOLCNIJ_02951	57.818275	20.329044	73.831303	34.409448	185.53777	21.639135	18.424284	65.675319	347.003531	386.401318	291.588036	260.748234	282.095557	235.590716	0.0	0.0	0.0
bin_11_CKKMPDND_01078	164.977975	99.706538	150.64751	407.736652	164.598962	386.782723	306.643182	365.242255	105.28739	45.630509	57.388724	182.97134	79.870009	24.122283	0.0	0.0	0.0
bin_12_FEDNEPMN_00020	11.290872	11.761881	35.326416	13.720417	38.912462	21.390872	91.25259	610.870908	735.100581	143.342514	29.914589	21.337652	18.82352	11.290317	0.0	9.911544	0.0
bin_12_FEDNEPMN_02307	0.0	8.618892	20.751412	4.859689	0.0	0.0	15.345828	401.316182	466.780853	113.40536	34.207519	31.336123	18.392323	0.0	0.0	0.0	0.0
bin_13_KJBFHAAK_01187	0.0	0.0	17.679207	32.996097	844.723654	46.721296	6.609655	0.0	0.0	26.088624	25.043084	13.352895	15.601908	0.0	0.0	0.0	0.0
bin_13_KJBFHAAK_01188	17.880623	18.687848	11.254592	73.762486	746.288712	283.28842	329.195276	117.551931	11.721605	8.213037	0.0	0.0	9.96989	0.0	43.434497	0.0	0.0
bin_14_MOPLEMBB_00172	15.326998	0.0	0.0	9.091823	0.0	0.0	0.0	132.954118	195.334426	115.482201	143.511495	103.094242	85.973194	77.707862	0.0	0.0	0.0
bin_14_MOPLEMBB_00173	0.0	16.329351	0.0	18.418512	8.270998	17.271648	88.216016	340.032529	207.315733	117.046431	170.893049	164.117637	104.497717	131.953057	0.0	0.0	0.0
bin_14_MOPLEMBB_00174	36.295276	9.484724	0.0	10.696385	4.796573	19.83635	33.818003	233.763059	155.805725	133.441516	177.642762	151.502108	114.91266	91.19863	0.0	0.0	0.0
bin_14_MOPLEMBB_01817	7.551457	7.881433	18.965456	35.549266	7.968223	4.109433	21.02634	218.106939	194.559979	89.689687	80.367066	107.396299	92.501125	37.862737	36.510542	0.0	0.0
bin_15_IOPBJFGJ_00435	59.865545	15.26628	34.984908	388.085378	104.912908	37.598009	22.061203	313.736508	565.52982	379.50466	367.560314	335.468849	392.3303	263.49276	0.0	0.0	0.0
bin_15_IOPBJFGJ_00487	104.838112	259.349307	0.0	167.065208	46.604486	60.022203	51.151476	439.67748	744.831391	755.042246	724.142962	501.605356	497.564083	251.585987	0.0	0.0	0.0
bin_15_IOPBJFGJ_00489	62.998358	33.383281	47.428355	22.863683	54.609836	0.0	30.660667	187.889589	674.374644	708.6624	366.268566	254.659294	428.664159	129.288709	0.0	0.0	0.0
bin_15_IOPBJFGJ_01081	138.788978	73.70754	61.837308	80.504509	47.75739	0.109258	69.972913	195.33223	383.610399	281.277457	324.07837	399.132923	300.666427	164.284998	0.0	0.0	0.0
bin_15_IOPBJFGJ_01082	48.883856	164.454514	198.787254	46.313986	70.618742	66.71282	19.003633	195.080756	207.464402	420.301982	214.623382	188.955901	220.789496	94.540335	0.0	0.0	0.0
bin_15_IOPBJFGJ_01083	288.80095	28.059312	33.902405	56.89315	21.308124	46.499948	52.477538	153.939461	251.93063	237.336026	179.888706	201.678367	221.558888	186.701556	0.0	0.0	0.0
bin_15_IOPBJFGJ_01084	56.917729	61.726344	51.748675	295.704136	287.828873	138.367474	107.357622	254.453205	582.639807	354.932249	359.710705	232.264372	256.32987	264.746934	0.0	36.263511	0.0
bin_15_IOPBJFGJ_01325	68.366481	127.060863	67.425315	35.907475	53.391883	75.498264	100.066039	216.130118	417.329748	304.769259	253.500438	238.941567	143.995637	152.251296	0.0	0.0	27.974554
bin_15_IOPBJFGJ_02160	47.93469	32.595204	19.473312	60.720074	115.089133	48.382649	58.269522	254.444157	522.388656	447.178253	300.480078	342.43876	367.276955	268.369875	0.0	16.970187	15.450966
bin_15_IOPBJFGJ_02684	39.173124	83.072882	50.209888	23.392698	84.366395	44.930306	0.0	183.04928	357.500384	376.584967	406.845638	85.913835	490.452962	201.887957	0.0	0.0	0.0
bin_15_IOPBJFGJ_02840	24.707879	30.633258	13.004072	71.853722	67.692615	31.75909	9.631858	280.857477	576.533518	354.549831	324.775623	355.158101	337.416906	165.898625	0.0	0.0	0.0
bin_15_IOPBJFGJ_02903	178.524684	44.413503	26.852943	107.013872	51.043467	71.093072	70.623003	542.974124	1005.893142	1173.049083	1016.487628	821.497731	789.66663	803.907848	0.0	0.0	0.0
bin_15_IOPBJFGJ_02980	62.838232	0.0	0.0	243.079856	36.531478	81.114591	45.663495	59.878393	72.747969	0.0049	54.611986	46.947713	56.747361	70.764673	134.924201	0.0	0.0
bin_15_IOPBJFGJ_03167	179.51889	190.510572	221.912395	295.902141	34.1849	61.698149	0.0	252.706864	645.941702	776.880225	154.313809	584.087377	245.108503	147.863264	0.0	0.0	0.0
bin_15_IOPBJFGJ_03218	0.0	0.0	0.0	44.129004	50.076465	0.0	0.0	129.219322	258.597275	218.094259	45.367542	252.017443	0.0	114.173386	0.0	0.0	141.019159
bin_16_JHFBEDLJ_03184	21.019419	5.471937	6.571917	6.169304	0.0	3.839424	4.848874	5.677692	138.124261	228.507176	265.844573	384.918759	324.401051	282.103714	0.0	0.0	0.0
bin_17_JDLOKFIE_03490	207.150109	61.76254	46.438828	47.880491	42.927546	124.753621	137.277514	80.587301	62.698392	20.265376	21.863738	42.075244	8.237264	14.834371	0.0	0.0	72.76109
bin_17_JDLOKFIE_05460	145.059807	50.433762	43.321457	56.86788	29.131553	120.072758	137.615302	172.736833	179.807203	88.130055	65.253375	85.042998	69.184601	41.521548	0.0	0.0	0.0
bin_19_GGINHOFJ_00120	97.48001	219.3913	265.188098	156.731459	311.045169	2275.860637	4733.067949	2387.36199	162.635841	26.088624	8.347695	26.70579	0.0	14.092844	0.0	0.0	0.0
bin_19_GGINHOFJ_00717	0.0	9.437322	11.367878	5.321446	133.631197	1145.704933	2482.655914	1239.751519	100.652907	8.297308	5.355915	25.749655	10.069562	36.296328	0.0	0.0	0.0
bin_19_GGINHOFJ_00718	13.925716	43.87826	35.358413	8.249024	125.899235	746.707246	2289.703373	1030.016818	60.407598	13.044312	25.043084	26.70579	0.0	28.185688	0.0	26.045377	0.0
bin_19_GGINHOFJ_01187	10.512908	11.004807	13.271498	12.411926	77.944894	773.04611	1337.086905	770.660203	41.587118	9.718245	6.2569	20.041341	23.484809	10.589028	0.0	0.0	0.0
bin_2_KPOMJHBH_04212	26.560404	37.009429	44.574168	31.30251	0.0	0.0	16.489094	14.546422	362.627965	187.000603	94.496669	159.862613	88.849544	44.477321	0.0	0.0	0.0
bin_22_KPMMGFAF_00526	21.257586	44.935253	27.169056	202.739633	148.254504	107.924678	20.417282	12.14957	78.238715	20.449981	12.904813	0.0	0.0	21.722698	0.0	0.0	158.694274
bin_22_KPMMGFAF_04405	94.862881	20.006809	121.101367	304.837518	172.47354	106.436518	81.563908	32.31087	45.079287	36.186374	22.960318	0.0	106.804112	19.321924	0.0	0.0	560.041088
