Bin	Diff	Min	RawMin	Tag	Weight	rTags	refined_matches	raw_matches
Bin 40	0.646626472749	-0.962827917129	0.0371720828713	['seq3552']	1.60945438988	['seq3552', 'seq786']	1	2
Bin 29	0.335542076725	-0.901728104243	0.082464679967	['seq3715']	1.23727018097	['seq59', 'seq310', 'seq386', 'seq1446', 'seq1549', 'seq1799', 'seq3386', 'seq3715', 'seq1825', 'seq7653', 'seq1249']	1	11
Bin 78	0.274068176782	-0.925856353282	0.0741436467175	['seq172', 'seq79', 'seq40']	1.19992453006	['seq172', 'seq79', 'seq40']	3	3
Bin 86	0.239706336763	-0.920324115669	0.0770186616106	['seq310', 'seq1446', 'seq1549']	1.16003045243	['seq310', 'seq386', 'seq1446', 'seq1549', 'seq1799', 'seq3386', 'seq3715', 'seq1825', 'seq7653', 'seq1249']	3	10
Bin 73	0.198168977872	-0.951821065118	0.0481789348824	['seq1088']	1.14999004299	['seq1088', 'seq17563', 'seq1437']	1	3
Bin 82	0.236597159697	-0.913320586658	0.0377886168686	['seq1118', 'seq1249']	1.14991774636	['seq59', 'seq3715', 'seq7653']	2	3
Bin 34	0.193735278548	-0.937149242887	0.0628507571133	['seq270']	1.13088452143	['seq270']	1	1
Bin 33	0.275985618495	-0.807858318082	0.13612704656	['seq49']	1.08384393658	['seq280']	1	1
Bin 8	0.226718875299	-0.853995655673	0.102977234918	['seq789', 'seq233']	1.08071453097	['seq184']	2	1
Bin 66	0.0947131080008	-0.978011131253	0.0186723705561	['seq386', 'seq1799']	1.07272423925	['seq310', 'seq386', 'seq1446', 'seq1549', 'seq1799', 'seq3386', 'seq1825', 'seq1249']	2	8
Bin 12	0.126673148726	-0.936158628549	0.0638413714512	['seq214']	1.06283177727	['seq214']	1	1
Bin 27	0.269754257051	-0.785674690812	0.133322613496	['seq57']	1.05542894786	['seq3552', 'seq786', 'seq878', 'seq2193']	1	4
Bin 83	0.0811654440703	-0.968152640037	0.0253754272475	['seq1799']	1.04931808411	['seq310', 'seq386', 'seq1446', 'seq1549', 'seq1799', 'seq3386', 'seq1825', 'seq1249']	1	8
Bin 62	0.26079346726	-0.778245926255	0.102894302403	['seq172', 'seq79', 'seq40']	1.03903939352	['seq83', 'seq135', 'seq825', 'seq174']	3	4
Bin 70	0.206048312404	-0.830652332784	0.0944261059944	['seq49']	1.03670064519	['seq189']	1	1
Bin 63	0.0732069376191	-0.953628749728	0.0463712502725	['seq1229']	1.02683568735	['seq1229']	1	1
Bin 31	0.0628279005107	-0.962845827614	0.0371541723864	['seq110', 'seq22916', 'seq394']	1.02567372812	['seq110', 'seq22916', 'seq394']	3	3
Bin 44	0.0730401628534	-0.952256264862	0.0477437351384	['seq147']	1.02529642771	['seq147']	1	1
Bin 14	0.0582471211356	-0.966514080212	0.0334859197876	['seq40']	1.02476120135	['seq3', 'seq40']	1	2
Bin 56	0.0474172360207	-0.966006500274	0.0137264770396	['seq301', 'seq1182']	1.01342373629	['seq301', 'seq821', 'seq252', 'seq19686']	2	4
Bin 25	0.0785366543423	-0.932658915707	0.0232584061528	['seq106', 'seq303']	1.01119557005	['seq2313']	2	1
Bin 1	0.0298415862638	-0.980481195765	0.0195188042347	['seq3397', 'seq450']	1.01032278203	['seq3397', 'seq450']	2	2
Bin 77	0.0909247428383	-0.919230923953	0.0807690760466	['seq773']	1.01015566679	['seq773']	1	1
Bin 68	0.0430390557512	-0.965132048476	0.0348679515236	['seq106', 'seq301', 'seq303', 'seq380', 'seq1786', 'seq430', 'seq8628', 'seq252', 'seq21562', 'seq11055']	1.00817110423	['seq106', 'seq301', 'seq303', 'seq380', 'seq1786', 'seq430', 'seq8628', 'seq252', 'seq21562', 'seq11055']	10	10
Bin 36	0.037829062698	-0.969230951903	0.0307690480972	['seq97', 'seq340']	1.0070600146	['seq97', 'seq340']	2	2
Bin 35	0.121758817526	-0.884644759509	0.0334720999324	['seq310', 'seq1446', 'seq1549']	1.00640357703	['seq59', 'seq3715', 'seq7653']	3	3
Bin 3	0.113508351087	-0.88868862526	0.105145633459	['seq267', 'seq997']	1.00219697635	['seq17122', 'seq267', 'seq17574']	2	3
Bin 39	0.0382413372249	-0.963770744897	0.0362292551031	['seq97', 'seq340']	1.00201208212	['seq97', 'seq340']	2	2
Bin 54	0.0299620132599	-0.971417627768	0.0285823722323	['seq157', 'seq8237', 'seq3826', 'seq8324', 'seq30042', 'seq19793', 'seq18391']	1.00137964103	['seq157', 'seq8237', 'seq3826', 'seq8324', 'seq30042', 'seq19793', 'seq18391']	7	7
Bin 67	0.0268003368296	-0.973266682175	0.0267333178251	['seq8']	1.000067019	['seq8']	1	1
Bin 21	0.0607058638744	-0.939164926358	0.0608350736418	['seq2']	0.999870790233	['seq2']	1	1
