Bin	Difference	Tag
Bin 52	5.17457912168	['seq381']
Bin 60	0.766884744413	['seq435', 'seq441', 'seq467', 'seq487', 'seq488']
Bin 62	0.647994736009	['seq403']
Bin 4	0.608834169877	['seq139']
Bin 49	0.605547940403	['seq60']
Bin 33	0.522591140255	['seq8']
Bin 43	0.507012541057	['seq84']
Bin 13	0.502646191341	['seq275']
Bin 41	0.471653225651	['seq308']
Bin 70	0.381738693092	['seq203']
Bin 14	0.344943349399	['seq389']
Bin 78	0.309902466526	['seq458']
Bin 48	0.29704785291	['seq395']
Bin 72	0.293943837394	['seq380']
Bin 53	0.286101983	['seq15']
Bin 83	0.285627403803	['seq99']
Bin 46	0.280506877332	['seq7']
Bin 65	0.267560747946	['seq109']
Bin 8	0.255315083404	['seq51']
Bin 27	0.252773669751	['seq264', 'seq269']
Bin 10	0.245363775556	['seq495']
Bin 58	0.235772400293	['seq527']
Bin 76	0.235000520645	['seq343']
Bin 81	0.207444622432	['seq337']
Bin 29	0.196277326773	['seq124']
Bin 87	0.166486321491	['seq26']
Bin 7	0.159696389638	['seq430', 'seq442', 'seq464', 'seq474', 'seq491']
Bin 56	0.158607886565	['seq483']
Bin 69	0.140473411743	['seq382']
Bin 38	0.136620974672	['seq457']
Bin 63	0.135632227859	['seq330', 'seq332', 'seq333', 'seq335', 'seq336', 'seq342', 'seq344', 'seq347', 'seq351', 'seq356', 'seq362', 'seq363', 'seq364', 'seq374']
Bin 51	0.134053062108	['seq191']
Bin 85	0.133783694076	['seq50']
Bin 25	0.13319971788	['seq594']
Bin 37	0.125628140704	['seq326']
Bin 77	0.113698570115	['seq345']
Bin 21	0.0939151185558	['seq268']
Bin 40	0.0902134696914	['seq247', 'seq273', 'seq285']
Bin 16	0.0898694023074	['seq459']
Bin 19	0.0884932734588	['seq349']
Bin 1	0.0883958193185	['seq421']
Bin 6	0.0801600825341	['seq215']
Bin 86	0.0744978786469	['seq42']
Bin 50	0.0692009964478	['seq283']
Bin 11	0.0685192535727	['seq53']
Bin 32	0.0683877773782	['seq253']
Bin 9	0.0681210063975	['seq85']
Bin 24	0.0675061586641	['seq137']
Bin 80	0.0652138517448	['seq306']
Bin 15	0.0516207441771	['seq281']
Bin 39	0.0480612808173	['seq418']
Bin 57	0.0469937561675	['seq460']
Bin 17	0.0467166663552	['seq319']
Bin 42	0.0463666416579	['seq260']
Bin 84	0.0417600938095	['seq535']
Bin 61	0.0397246848795	['seq309', 'seq317']
Bin 47	0.03865091796	['seq471']
Bin 55	0.038587828279	['seq300', 'seq301', 'seq316', 'seq325']
Bin 82	0.0370924964199	['seq29']
Bin 36	0.0363168078247	['seq346']
Bin 30	0.0320403142551	['seq394']
Bin 68	0.0317749584109	['seq525']
Bin 3	0.0312401408332	['seq180', 'seq207', 'seq209', 'seq218', 'seq221', 'seq232']
Bin 67	0.0303698063695	['seq573']
Bin 64	0.0289848449372	['seq534']
Bin 75	0.0277619772882	['seq13']
Bin 54	0.0265133235568	['seq466']
Bin 23	0.0263519775855	['seq34']
Bin 59	0.0226631839177	['seq425']
Bin 5	0.0215431310994	['seq251']
Bin 34	0.0215101684823	['seq400']
Bin 66	0.0208779920656	['seq24']
Bin 71	0.0198770606241	['seq402']
Bin 35	0.0182321397682	['seq146', 'seq159']
Bin 22	0.0165195697087	['seq184']
Bin 79	0.00811609939995	['seq110']
Bin 31	0.0072101871739	['seq117']
Bin 73	0.00609121067618	['seq214', 'seq220', 'seq229']
Bin 28	0.00492743409106	['seq179']
Bin 74	0.00392037732885	['seq549']
Bin 26	0.00196278667687	['seq634']
Bin 45	0.00135040322971	['seq32']
Bin 44	0.00131433299251	['seq178', 'seq181', 'seq183', 'seq186', 'seq187', 'seq188', 'seq190', 'seq194', 'seq195', 'seq196', 'seq197', 'seq198', 'seq200', 'seq201', 'seq202', 'seq204', 'seq205', 'seq206', 'seq211', 'seq212', 'seq213', 'seq216', 'seq217', 'seq224', 'seq225', 'seq226', 'seq227', 'seq231', 'seq233', 'seq234', 'seq235']
Bin 12	0.00124114019418	['seq410', 'seq411']
Bin 18	0.000600446023609	['seq668', 'seq669', 'seq670', 'seq671', 'seq672', 'seq673']
Bin 2	0.000111306732639	['seq422', 'seq424', 'seq428', 'seq431', 'seq432', 'seq433', 'seq434', 'seq436', 'seq437', 'seq438', 'seq439', 'seq440', 'seq443', 'seq446', 'seq447', 'seq448', 'seq449', 'seq450', 'seq451', 'seq452', 'seq454', 'seq456', 'seq461', 'seq462', 'seq463', 'seq465', 'seq470', 'seq472', 'seq476', 'seq479', 'seq480', 'seq481', 'seq482', 'seq485', 'seq486', 'seq489', 'seq490', 'seq492']
Bin 20	1.0015889945e-15	['seq12', 'seq16', 'seq17', 'seq20', 'seq21', 'seq23', 'seq25', 'seq3', 'seq31', 'seq36', 'seq37', 'seq38', 'seq39', 'seq4', 'seq41', 'seq43', 'seq44', 'seq47', 'seq48', 'seq49', 'seq52', 'seq55', 'seq57', 'seq62', 'seq64', 'seq66', 'seq67', 'seq69', 'seq71', 'seq72', 'seq73', 'seq74', 'seq75', 'seq77', 'seq78', 'seq79', 'seq81', 'seq82', 'seq83', 'seq86', 'seq87', 'seq88', 'seq89', 'seq9', 'seq90', 'seq92']
