Bin	Difference	Min	Tag
Bin 52	4.88235294118	-1.0	['seq381', 'seq672']
Bin 18	1.43902439024	-1.0	['seq399', 'seq668', 'seq669', 'seq670', 'seq671', 'seq673']
Bin 60	0.770833333333	-0.85	['seq435', 'seq441', 'seq467', 'seq487', 'seq488']
Bin 62	0.654545454545	-0.91	['seq403']
Bin 49	0.625	-0.39	['seq60']
Bin 4	0.6	-0.96	['seq139']
Bin 43	0.52	-0.38	['seq84']
Bin 33	0.511627906977	-0.65	['seq8']
Bin 13	0.5	-0.6	['seq275']
Bin 41	0.469696969697	-0.97	['seq308']
Bin 70	0.372549019608	-0.7	['seq203']
Bin 73	0.37037037037	-0.37	['seq46']
Bin 14	0.344827586207	-0.78	['seq389']
Bin 66	0.319444444444	-0.95	['seq24']
Bin 53	0.310344827586	-0.38	['seq15']
Bin 78	0.3	-0.65	['seq458']
Bin 72	0.292307692308	-0.84	['seq380']
Bin 46	0.28	-0.96	['seq7']
Bin 83	0.277777777778	-0.92	['seq110', 'seq99']
Bin 65	0.265625	-0.81	['seq109']
Bin 8	0.257142857143	-0.88	['seq51']
Bin 27	0.253164556962	-0.99	['seq264', 'seq269']
Bin 10	0.25	-0.75	['seq495']
Bin 76	0.246753246753	-0.96	['seq343']
Bin 58	0.22641509434	-0.65	['seq527']
Bin 81	0.209677419355	-0.75	['seq337']
Bin 29	0.208333333333	-0.87	['seq124']
Bin 7	0.18	-0.59	['seq430', 'seq442', 'seq464', 'seq474', 'seq491']
Bin 87	0.175	-0.94	['seq26']
Bin 26	0.162790697674	-1.0	['seq633', 'seq634']
Bin 48	0.155844155844	-0.89	['seq395']
Bin 79	0.155172413793	-0.67	['seq54']
Bin 56	0.154761904762	-0.97	['seq483']
Bin 69	0.146341463415	-0.47	['seq382']
Bin 38	0.141176470588	-0.97	['seq457']
Bin 25	0.132530120482	-0.94	['seq594']
Bin 51	0.132530120482	-0.94	['seq191']
Bin 63	0.128571428571	-0.79	['seq330', 'seq332', 'seq333', 'seq335', 'seq336', 'seq342', 'seq344', 'seq347', 'seq351', 'seq356', 'seq362', 'seq363', 'seq364', 'seq374']
Bin 85	0.12676056338	-0.8	['seq50']
Bin 37	0.123287671233	-0.82	['seq326']
Bin 77	0.112676056338	-0.79	['seq345']
Bin 30	0.0958904109589	-0.8	['seq535']
Bin 86	0.0952380952381	-0.69	['seq146', 'seq159']
Bin 21	0.0941176470588	-0.93	['seq268']
Bin 54	0.0909090909091	-0.84	['seq466']
Bin 1	0.0875	-0.87	['seq421']
Bin 6	0.0875	-0.87	['seq215']
Bin 40	0.0869565217391	-1.0	['seq247', 'seq273', 'seq285']
Bin 19	0.0833333333333	-0.91	['seq349']
Bin 16	0.0821917808219	-0.79	['seq459']
Bin 3	0.0795454545455	-0.95	['seq182']
Bin 35	0.0757575757576	-0.71	['seq42']
Bin 24	0.0705882352941	-0.91	['seq137']
Bin 9	0.0697674418605	-0.92	['seq85']
Bin 2	0.0689655172414	-0.93	['seq378', 'seq422', 'seq424', 'seq428', 'seq431', 'seq432', 'seq433', 'seq434', 'seq436', 'seq437', 'seq438', 'seq439', 'seq440', 'seq443', 'seq446', 'seq447', 'seq448', 'seq449', 'seq450', 'seq451', 'seq452', 'seq454', 'seq456', 'seq461', 'seq462', 'seq463', 'seq465', 'seq470', 'seq472', 'seq476', 'seq479', 'seq480', 'seq481', 'seq482', 'seq485', 'seq486', 'seq489', 'seq490', 'seq492']
Bin 11	0.0657894736842	-0.81	['seq53']
Bin 50	0.0617283950617	-0.86	['seq283']
Bin 32	0.0617283950617	-0.86	['seq253']
Bin 28	0.0595238095238	-0.89	['seq142']
Bin 80	0.0566037735849	-0.56	['seq306']
Bin 44	0.0531914893617	-0.99	['seq178', 'seq179', 'seq180', 'seq181', 'seq183', 'seq186', 'seq187', 'seq188', 'seq189', 'seq190', 'seq194', 'seq195', 'seq196', 'seq197', 'seq198', 'seq200', 'seq201', 'seq202', 'seq204', 'seq205', 'seq206', 'seq207', 'seq209', 'seq211', 'seq212', 'seq213', 'seq214', 'seq216', 'seq217', 'seq218', 'seq220', 'seq221', 'seq224', 'seq225', 'seq226', 'seq227', 'seq229', 'seq231', 'seq232', 'seq233', 'seq234', 'seq235']
Bin 15	0.0526315789474	-0.8	['seq281', 'seq418']
Bin 57	0.0487804878049	-0.86	['seq460']
Bin 17	0.0459770114943	-0.91	['seq319']
Bin 42	0.0454545454545	-0.92	['seq260']
Bin 82	0.043956043956	-0.95	['seq29']
Bin 84	0.0422535211268	-0.74	['seq563']
Bin 61	0.0421052631579	-0.99	['seq309', 'seq317']
Bin 74	0.04	-0.78	['seq549', 'seq593']
Bin 36	0.0394736842105	-0.79	['seq394']
Bin 45	0.038961038961	-0.8	['seq32', 'seq58']
Bin 68	0.0333333333333	-0.93	['seq525']
Bin 47	0.0333333333333	-0.93	['seq471']
Bin 64	0.032967032967	-0.94	['seq534']
Bin 55	0.0315789473684	-0.98	['seq300', 'seq301', 'seq316', 'seq325']
Bin 67	0.027027027027	-0.76	['seq573']
Bin 39	0.0263157894737	-0.78	['seq346']
Bin 59	0.025	-0.82	['seq425']
Bin 71	0.0238095238095	-0.86	['seq402']
Bin 34	0.0229885057471	-0.89	['seq400']
Bin 5	0.0222222222222	-0.92	['seq251']
Bin 75	0.021978021978	-0.93	['seq13']
Bin 23	0.0212765957447	-0.96	['seq34']
Bin 20	0.0204081632653	-1.0	['seq12', 'seq16', 'seq17', 'seq19', 'seq20', 'seq21', 'seq22', 'seq23', 'seq25', 'seq3', 'seq31', 'seq33', 'seq36', 'seq37', 'seq38', 'seq39', 'seq4', 'seq41', 'seq43', 'seq44', 'seq47', 'seq48', 'seq49', 'seq52', 'seq55', 'seq57', 'seq59', 'seq6', 'seq62', 'seq64', 'seq66', 'seq67', 'seq69', 'seq71', 'seq72', 'seq73', 'seq74', 'seq75', 'seq77', 'seq78', 'seq79', 'seq81', 'seq82', 'seq83', 'seq86', 'seq87', 'seq88', 'seq89', 'seq9', 'seq90', 'seq92']
Bin 12	0.0172413793103	-0.59	['seq410', 'seq411']
Bin 31	0.0106382978723	-0.95	['seq117']
Bin 22	0.0104166666667	-0.97	['seq184']
