	Group	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly	Kingdom	Phylum	Class	Order	Family	Genus
Bin 52	Bin 52	0.040453615247566965	0.0051174538016356824	0.0082169612814916217	0.0053738012091387663	0.0	0.0	0.0	0.0036387925272937135	0.0	0.0	0.0	0.0	0.0	0.0	0.0065020652950400805	0.0065622560251717213	0.92413505461266143	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Family XI	Family XI	GpXI
seq1764	Bin 52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Family XI	Family XI	GpXI
seq1769	Bin 52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Family XI	Family XI	GpXI
seq1770	Bin 52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Family XI	Family XI	GpXI
seq1775	Bin 52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Family XI	Family XI	GpXI
seq803	Bin 52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024498886414253896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97550111358574609	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Family XI	Family XI	GpXI
Bin 73	Bin 73	0.0090616911496105308	0.005731599702403836	0.0046015396192348535	0.86669443811636737	0.019367674218272058	0.0	0.0	0.012226452631509687	0.01970092367344475	0.012496477009093109	0.014701293496498053	0.012784573129302744	0.010706552579407827	0.011926784674855043	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq304	Bin 73	0.0	0.0	0.0	0.86940865033780901	0.020541583692528054	0.0	0.0	0.070910672472836569	0.012364201649324212	0.0	0.026774891847502084	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	
seq309	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq322	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	
seq346	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	
seq348	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq377	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus
seq381	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
seq387	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
seq391	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		
seq392	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	
seq393	Bin 73	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria			
Bin 40	Bin 40	0.0	0.0	0.0	0.018400051546778224	0.91775063073169361	0.019677832904193383	0.0	0.012459331386574705	0.02007616960265883	0.0076406993711197746	0.0	0.0	0.0	0.0	0.0	0.0	0.0039952844569813867	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum
seq406	Bin 40	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum
seq438	Bin 40	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum
seq439	Bin 40	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum
seq460	Bin 40	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum
seq506	Bin 40	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum
seq515	Bin 40	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
Bin 4	Bin 4	0.0044482738160820231	0.0	0.0	0.0029545121078986348	0.0	0.0	0.0	0.1200363336299521	0.23532629131475216	0.1705354403974374	0.11787253667932157	0.13179161595785086	0.12482326112619609	0.092211734970509177	0.0	0.0	0.0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	
