Bin	Diff	Min	RawMin	Tag	Weight	rTags	refined_matches	raw_matches
Bin 52	0.683791331363	-0.929871296171	0.0701287038294	['seq1764', 'seq1769', 'seq1770', 'seq1775', 'seq803']	1.61366262753	['seq1406', 'seq1684', 'seq1699', 'seq1759', 'seq1760', 'seq1761', 'seq1762', 'seq1763', 'seq1764', 'seq1765', 'seq1766', 'seq1767', 'seq1768', 'seq1769', 'seq1770', 'seq1771', 'seq1772', 'seq1773', 'seq1774', 'seq1775', 'seq784', 'seq803']	5	22
Bin 73	0.372642984668	-0.933933311767	0.066066688233	['seq304', 'seq309', 'seq322', 'seq346', 'seq348', 'seq377', 'seq381', 'seq387', 'seq391', 'seq392', 'seq393']	1.30657629643	['seq304', 'seq305', 'seq306', 'seq307', 'seq308', 'seq309', 'seq310', 'seq311', 'seq312', 'seq313', 'seq315', 'seq317', 'seq318', 'seq322', 'seq323', 'seq324', 'seq325', 'seq327', 'seq328', 'seq329', 'seq330', 'seq331', 'seq332', 'seq334', 'seq335', 'seq336', 'seq338', 'seq342', 'seq343', 'seq344', 'seq345', 'seq346', 'seq347', 'seq348', 'seq349', 'seq351', 'seq352', 'seq353', 'seq354', 'seq355', 'seq358', 'seq359', 'seq361', 'seq362', 'seq363', 'seq364', 'seq365', 'seq367', 'seq368', 'seq369', 'seq370', 'seq371', 'seq372', 'seq373', 'seq375', 'seq376', 'seq377', 'seq379', 'seq381', 'seq383', 'seq384', 'seq385', 'seq386', 'seq387', 'seq388', 'seq389', 'seq390', 'seq391', 'seq392', 'seq393', 'seq394', 'seq395', 'seq396', 'seq397', 'seq398', 'seq399', 'seq400']	11	77
Bin 40	0.356216547688	-0.909870272057	0.0901297279428	['seq406', 'seq438', 'seq439', 'seq460', 'seq506', 'seq515']	1.26608681974	['seq402', 'seq406', 'seq407', 'seq408', 'seq409', 'seq410', 'seq411', 'seq416', 'seq417', 'seq418', 'seq419', 'seq420', 'seq423', 'seq425', 'seq426', 'seq427', 'seq428', 'seq429', 'seq430', 'seq432', 'seq433', 'seq434', 'seq435', 'seq436', 'seq437', 'seq438', 'seq439', 'seq441', 'seq442', 'seq443', 'seq444', 'seq446', 'seq447', 'seq448', 'seq450', 'seq451', 'seq452', 'seq453', 'seq455', 'seq456', 'seq457', 'seq458', 'seq459', 'seq460', 'seq461', 'seq462', 'seq466', 'seq467', 'seq468', 'seq469', 'seq470', 'seq472', 'seq473', 'seq474', 'seq475', 'seq476', 'seq477', 'seq478', 'seq479', 'seq480', 'seq481', 'seq483', 'seq484', 'seq485', 'seq486', 'seq487', 'seq488', 'seq489', 'seq490', 'seq491', 'seq493', 'seq494', 'seq496', 'seq497', 'seq498', 'seq500', 'seq501', 'seq502', 'seq503', 'seq504', 'seq506', 'seq507', 'seq509', 'seq510', 'seq511', 'seq512', 'seq513', 'seq514', 'seq515', 'seq516', 'seq517', 'seq519', 'seq521', 'seq522', 'seq523', 'seq524', 'seq525']	6	97
Bin 4	0.349756376747	-0.880443650582	0.119556349418	['seq186']	1.23020002733	['seq186', 'seq465', 'seq569', 'seq649', 'seq669', 'seq846', 'seq848', 'seq912', 'seq958', 'seq969']	1	10
Bin 18	0.219304950711	-1.0	0.0	['seq1684', 'seq1699', 'seq1759', 'seq1760', 'seq1761', 'seq1762', 'seq1763', 'seq1764', 'seq1765', 'seq1766', 'seq1767', 'seq1768', 'seq1769', 'seq1770', 'seq1771', 'seq1772', 'seq1773', 'seq1774', 'seq1775', 'seq784', 'seq803']	1.21930495071	['seq1684', 'seq1699', 'seq1759', 'seq1760', 'seq1761', 'seq1762', 'seq1763', 'seq1764', 'seq1765', 'seq1766', 'seq1767', 'seq1768', 'seq1769', 'seq1770', 'seq1771', 'seq1772', 'seq1773', 'seq1774', 'seq1775', 'seq784', 'seq803']	21	21
Bin 41	0.283131863279	-0.893255596703	0.106744403297	['seq569']	1.17638745998	['seq186', 'seq465', 'seq541', 'seq569', 'seq649']	1	5
Bin 26	0.2347109884	-0.939496036481	0.060503963519	['seq1396', 'seq1410', 'seq1423']	1.17420702488	['seq1396', 'seq1410', 'seq1423']	3	3
Bin 28	0.235900744404	-0.913338826881	0.0866611731194	['seq304', 'seq305', 'seq306', 'seq307', 'seq308', 'seq309', 'seq310', 'seq311', 'seq312', 'seq313', 'seq315', 'seq317', 'seq318', 'seq322', 'seq323', 'seq324', 'seq325', 'seq327', 'seq328', 'seq329', 'seq331', 'seq332', 'seq334', 'seq335', 'seq336', 'seq338', 'seq342', 'seq343', 'seq344', 'seq345', 'seq346', 'seq347', 'seq348', 'seq349', 'seq351', 'seq352', 'seq353', 'seq355', 'seq358', 'seq359', 'seq361', 'seq362', 'seq363', 'seq364', 'seq365', 'seq367', 'seq368', 'seq369', 'seq370', 'seq371', 'seq372', 'seq373', 'seq375', 'seq376', 'seq377', 'seq379', 'seq381', 'seq383', 'seq384', 'seq385', 'seq386', 'seq387', 'seq388', 'seq389', 'seq390', 'seq391', 'seq392', 'seq393', 'seq394', 'seq395', 'seq396', 'seq397', 'seq398', 'seq399', 'seq400']	1.14923957128	['seq304', 'seq305', 'seq306', 'seq307', 'seq308', 'seq309', 'seq310', 'seq311', 'seq312', 'seq313', 'seq315', 'seq317', 'seq318', 'seq322', 'seq323', 'seq324', 'seq325', 'seq327', 'seq328', 'seq329', 'seq330', 'seq331', 'seq332', 'seq334', 'seq335', 'seq336', 'seq338', 'seq342', 'seq343', 'seq344', 'seq345', 'seq346', 'seq347', 'seq348', 'seq349', 'seq351', 'seq352', 'seq353', 'seq354', 'seq355', 'seq358', 'seq359', 'seq361', 'seq362', 'seq363', 'seq364', 'seq365', 'seq367', 'seq368', 'seq369', 'seq370', 'seq371', 'seq372', 'seq373', 'seq375', 'seq376', 'seq377', 'seq379', 'seq381', 'seq383', 'seq384', 'seq385', 'seq386', 'seq387', 'seq388', 'seq389', 'seq390', 'seq391', 'seq392', 'seq393', 'seq394', 'seq395', 'seq396', 'seq397', 'seq398', 'seq399', 'seq400']	75	77
Bin 83	0.259618033046	-0.881879150571	0.0741419319435	['seq114', 'seq223']	1.14149718362	['seq114', 'seq154', 'seq185', 'seq205', 'seq223', 'seq26', 'seq68', 'seq74']	2	8
Bin 66	0.259132786248	-0.875467098368	0.0810117958884	['seq114', 'seq223', 'seq74']	1.13459988462	['seq114', 'seq154', 'seq185', 'seq205', 'seq223', 'seq26', 'seq68', 'seq74']	3	8
