Date	Depth	Fe-	N+	O	S+
2013-03-26	6	8.31817067837	57.2285714286	374.389039589	151.79375
2013-03-26	7	10.0105105834	35.6571428571	375.639086466	112.540625
2013-03-26	8	14.1008386339	51.5	365.951223171	140.4125
2013-03-26	9	11.8076966481	72.3428571429	355.013312999	167.546875
2013-03-26	10	8.09251841481	73.7857142857	337.200145005	185.315625
2013-03-26	11	8.43822825311	71.9642857143	330.324887183	188.590625
2013-03-26	12	8.29388578754	54.75	301.573809018	141.671875
2013-03-26	13	9.69841946963	66.8571428571	292.198457442	174.628125
2013-03-26	14	9.12076321355	66.1464285714	263.447379277	179.5421875
2013-03-26	15	10.3532979034	65.4357142857	235.32132455	184.45625
2013-03-26	16	12.3804126114	33.7071428571	204.070152631	108.125
2013-03-26	17	16.7011835123	38.9571428571	79.6904883933	128.6375
2013-03-26	18	14.5698930664	25.4285714286	13.4380039251	102.703125
2013-03-26	19	14.0571831091	20.9	10.9379101716	117.396875
2013-03-26	20	305.641786201	3.95	10.6253984524	60.078125
2013-03-26	21	499.438274235	3.89285714286	10.0003750141	39.5515625
2013-03-26	22	693.23476227	3.83571428571	9.37535157568	19.025
2013-05-10	6	0.0	77.7071428571	266.572496469	201.390625
2013-05-10	7	0.0	75.1857142857	268.135055065	194.1640625
2013-05-10	8	0.0	72.6642857143	269.697613661	186.9375
2013-05-10	9	2.61698826249	74.3821428571	254.228283561	194.2359375
2013-05-10	10	0.0	76.1	238.758953461	201.534375
2013-05-10	11	0.0	73.2452380952	215.7893421	197.6447917
2013-05-10	12	0.0	70.3904761905	192.81973074	193.7552083
2013-05-10	13	0.0	67.5357142857	156.255859595	189.865625
2013-05-10	14	0.0	48.0785714286	51.0956660875	171.153125
2013-05-10	15	0.0	33.8357142857	7.50028126055	156.153125
2013-05-10	16	0.0	9.42142857143	9.37535157568	136.565625
2013-05-10	17	60.0259234343	6.71071428571	9.06283985649	115.2125
2013-05-10	18	157.855435411	4.0	8.75032813731	93.859375
2013-05-10	19	193.003763067	3.91071428571	8.43781641812	84.9984375
2013-05-10	20	228.152090723	3.82142857143	8.12530469893	76.1375
2013-05-10	21	219.462643052	3.725	7.81279297974	73.5953125
2013-05-10	22	210.773195382	3.62857142857	7.50028126055	71.053125
2013-06-17	6	4.81996827889	58.4071428571	172.662724852	156.875
2013-06-17	7	3.74800286592	62.1714285714	185.631961199	165.309375
2013-06-17	8	3.44694445419	57.1357142857	204.53892021	159.9351563
2013-06-17	9	3.14588604246	52.1	223.44587922	154.5609375
2013-06-17	10	3.31667430503	47.0642857143	206.257734665	149.1867188
2013-06-17	11	3.4874625676	42.0285714286	189.06959011	143.8125
2013-06-17	12	5.60418927137	35.6821428571	106.097728665	145.990625
2013-06-17	13	7.72091597514	29.3357142857	23.12586722	148.16875
2013-06-17	14	10.2270340127	22.9892857143	17.6569121342	150.346875
2013-06-17	15	12.7331520502	16.6428571429	12.1879570484	152.525
2013-06-17	16	61.4038126662	9.99642857143	10.9379101716	131.4203125
2013-06-17	17	110.074473282	3.35	9.68786329487	110.315625
2013-06-17	18	278.5853521	3.64642857143	9.68786329487	93.4515625
2013-06-17	19	447.096230918	3.94285714286	9.68786329487	76.5875
2013-06-17	20	461.166952577	3.80714285714	8.59407227771	70.1140625
2013-06-17	21	475.237674236	3.67142857143	7.50028126055	63.640625
2013-06-17	22	475.237674236	3.67142857143	7.50028126055	63.640625
2013-07-17	6	0.0	63.8785714286	63.1273672763	177.496875
2013-07-17	7	0.0	71.7357142857	128.129804868	192.359375
2013-07-17	8	0.0	75.5	141.567808793	197.071875
2013-07-17	9	0.0	71.7142857143	139.067715039	187.971875
2013-07-17	10	5.15547859322	73.5428571429	136.567621286	184.603125
2013-07-17	11	0.0	69.95	131.25492206	171.24375
2013-07-17	12	0.859571879681	60.1642857143	110.316636874	152.903125
2013-07-17	13	0.0	45.3857142857	60.158505944	159.95625
2013-07-17	14	4.08150191483	30.6071428571	10.0003750141	167.009375
2013-07-17	15	13.3567550463	17.2142857143	8.75032813731	140.01875
