Parameter,With gene calibration,Without gene calibration,Previous model parameters
oxygen_bubble_rate,0,0,0
nitrogen_source,99.76162184,109.206874,0
nitrogen_ratio,0.045068462,0.068628115,0.1
carbon_source_from_5e4,51895.16544,56738.07363,94000
oxygen_source,916.064699,1414.636499,6600
methane_source,2830,2830,2830
t_max,0.4,0.4,0.4
sminus_precipitation,0.323863367,0.226608608,0
fe_precipitation,0.19662256,0.206381123,0.3
carbon_precip,0.212171698,0.196328779,0.3
diffusion_constant,50.80946368,55.90805332,50
ma_op_o_fe_rate_const,10,10,10
ma_op_o_n_rate_const,5,5,5
ma_op_o_s_rate_const,0.16,0.16,0.16
ma_op_fe_n_rate_const,2.619413405,3.19487504,1
ma_op_s_n_rate_const,0.264493675,0.257330109,0
ma_op_ch4_o_rate_const,10000,10000,10000
ma_op_ch4_n_rate_const,48.56536852,50.81686173,0
ma_op_ch4_s_rate_const,0.01,0.01,0.01
primary_ox_rate_const,1.123846243,1.83500267,1
c_lim_o,20,20,20
c_lim_n,5,5,5
c_lim_fe,0.1,0.1,0.1
c_lim_s,30,30,30
C,2.399587107,1.253354668,1
N-,4.320933853,0.51111675,1
S-,0.231941582,0.219407462,1
CH4,3.012709319,0.684518008,1
