,old_model,new_model
oxygen_bubble_rate,0.0,0.0
nitrogen_source,138.558634516,141.229865761
nitrogen_ratio,0.0518437497276,0.0140581314755
carbon_source_from_5e4,68244.4181477,44561.9553946
oxygen_source,11708.6401985,12749.2593934
methane_source,2830.0,2830.0
t_max,0.4,0.4
sminus_precipitation,0.0,0.268193290869
fe_precipitation,0.305398671481,0.321299903945
carbon_precip,0.200052748186,0.195372401749
diffusion_constant,174.587321703,112.391718114
ma_op_o_fe_rate_const,10.0,10.0
ma_op_o_n_rate_const,5.0,5.0
ma_op_o_s_rate_const,0.16,0.16
ma_op_fe_n_rate_const,0.242592681224,0.90346521516
ma_op_s_n_rate_const,0.0,0.262389506656
ma_op_ch4_o_rate_const,10000.0,10000.0
ma_op_ch4_n_rate_const,0.0,1.61137762158
ma_op_ch4_s_rate_const,0.01,0.01
primary_ox_rate_const,1.72236222566,0.993175252339
c_lim_o,20.0,20.0
c_lim_n,5.0,5.0
c_lim_fe,0.1,0.1
c_lim_s,30.0,30.0
C,1.6001548531,1.21424401799
N-,1.40451725979,7.87951567816
S-,0.827310496292,1.08089350835
CH4,3.67805359436,5.9429647372
