,oxygen_bubble_rate,nitrogen_source,nitrogen_ratio,carbon_source_from_5e4,oxygen_source,methane_source,t_max,sminus_precipitation,fe_precipitation,carbon_precip,diffusion_constant,ma_op_o_fe_rate_const,ma_op_o_n_rate_const,ma_op_o_s_rate_const,ma_op_fe_n_rate_const,ma_op_s_n_rate_const,ma_op_ch4_o_rate_const,ma_op_ch4_n_rate_const,ma_op_ch4_s_rate_const,primary_ox_rate_const,c_lim_o,c_lim_n,c_lim_fe,c_lim_s,C,N-,S-,CH4,score
1,0.0,86.0925242743,0.0717654887795,79682.5568998,17501.1976725,2830.0,0.4,0.100963490614,0.183225340192,0.192527257128,113.014469694,10.0,5.0,0.16,6.76290390453,0.262323816194,10000.0,35.2203103499,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.08195928954,5.96406191801,1.30968365642,2.11851276858,-2.07690311618
2,0.0,86.5726369701,0.0722113692477,79682.5568998,17501.1976725,2830.0,0.4,0.0925395008286,0.183377172319,0.192522365526,114.590724404,10.0,5.0,0.16,6.77706184542,0.333079921995,10000.0,40.2135923232,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.07572206624,5.96406191801,1.30968365642,2.12514333948,-2.0861955967
3,0.0,85.6626892406,0.0716151685711,79682.5568998,17501.1976725,2830.0,0.4,0.0910014766286,0.183411395278,0.192536948881,117.282773671,10.0,5.0,0.16,6.77843039786,0.311288612888,10000.0,52.3068519739,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.08268082848,5.96406191801,1.30968365642,2.09970019577,-2.08850651287
4,0.0,86.198150536,0.0710434506666,79682.5568998,17501.1976725,2830.0,0.4,0.0792841931518,0.183527041456,0.192543990041,119.605478843,10.0,5.0,0.16,6.74801137033,0.286379666038,10000.0,35.6125095048,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.07865873193,5.96406191801,1.30968365642,2.09289073305,-2.09348777517
5,0.0,86.7243578525,0.0722698334034,79682.5568998,17501.1976725,2830.0,0.4,0.090506283168,0.183399153993,0.19255658518,108.262705245,10.0,5.0,0.16,6.78710952538,0.309027139701,10000.0,50.6047926984,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.08929790015,5.96406191801,1.30968365642,2.078989321,-2.06790767138
6,0.0,86.5699550277,0.0730961547969,79682.5568998,17501.1976725,2830.0,0.4,0.107017472119,0.18337264906,0.192512434622,112.584631265,10.0,5.0,0.16,6.76540148074,0.4084227026,10000.0,36.8385225844,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.08271924903,5.96406191801,1.30968365642,2.10921103193,-2.09185357543
7,0.0,85.8196185066,0.0715823189296,79682.5568998,17501.1976725,2830.0,0.4,0.106166633966,0.183373423624,0.192542730599,111.800834361,10.0,5.0,0.16,6.75958732345,0.351636605703,10000.0,43.7667581644,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.08312184505,5.96406191801,1.30968365642,2.10767085159,-2.09252596469
8,0.0,86.3350116508,0.0729628252197,79682.5568998,17501.1976725,2830.0,0.4,0.0993027666144,0.18339864515,0.192459800981,119.683323376,10.0,5.0,0.16,6.7873376868,0.285336607121,10000.0,53.0182276277,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.07654978157,5.96406191801,1.30968365642,2.10348625956,-2.08343301812
9,0.0,86.4832732318,0.0724775387979,79682.5568998,17501.1976725,2830.0,0.4,0.105754513277,0.18337079857,0.192554139328,113.237580037,10.0,5.0,0.16,6.76354105261,0.28274828512,10000.0,27.3059320174,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.08591385358,5.96406191801,1.30968365642,2.04548668166,-2.08966642874
10,0.0,86.5989377498,0.0721086957326,79682.5568998,17501.1976725,2830.0,0.4,0.0909378755026,0.183326661553,0.192535404008,111.597652789,10.0,5.0,0.16,6.76120335127,0.286097921171,10000.0,32.438343007,0.01,2.18841938914,20.0,5.0,0.1,30.0,1.07572235285,5.96406191801,1.30968365642,2.08796125699,-2.07751637191
