Parameter,old_model,new_model,With gene calibration,Without gene calibration,Previous model parameters
oxygen_bubble_rate,0.0,0.0,0.0,0.0,0.0
nitrogen_source,167.691691692,170.396396396,99.76162184,109.206874,0.0
nitrogen_ratio,0.0463463463463,0.097997997998,0.045068462,0.068628115,0.1
carbon_source_from_5e4,99009.009009,52432.4324324,51895.16544,56738.07363,94000.0
oxygen_source,15507.027027,16553.5135135,916.064699,1414.636499,6600.0
methane_source,2830.0,2830.0,2830.0,2830.0,2830.0
t_max,0.4,0.4,0.4,0.4,0.4
sminus_precipitation,0.0,0.118118118118,0.323863367,0.226608608,0.0
fe_precipitation,0.0676676676677,0.0776776776777,0.19662256,0.206381123,0.3
carbon_precip,0.146146146146,0.0104104104104,0.212171698,0.196328779,0.3
diffusion_constant,77.7477477477,130.891891892,50.80946368,55.90805332,50.0
ma_op_o_fe_rate_const,10.0,10.0,10.0,10.0,10.0
ma_op_o_n_rate_const,5.0,5.0,5.0,5.0,5.0
ma_op_o_s_rate_const,0.16,0.16,0.16,0.16,0.16
ma_op_fe_n_rate_const,2.74774774775,0.657657657658,2.619413405,3.19487504,1.0
ma_op_s_n_rate_const,0.0,0.0995995995996,0.264493675,0.257330109,0.0
ma_op_ch4_o_rate_const,10000.0,10000.0,10000.0,10000.0,10000.0
ma_op_ch4_n_rate_const,0.0,34.1341341341,48.56536852,50.81686173,0.0
ma_op_ch4_s_rate_const,0.01,0.01,0.01,0.01,0.01
primary_ox_rate_const,2.21622405405,1.94595648649,1.123846243,1.83500267,1.0
c_lim_o,20.0,20.0,20.0,20.0,20.0
c_lim_n,5.0,5.0,5.0,5.0,5.0
c_lim_fe,0.1,0.1,0.1,0.1,0.1
c_lim_s,30.0,30.0,30.0,30.0,30.0
C,0.512912912913,1.49109109109,2.399587107,1.253354668,1.0
N-,5.98822822823,3.94266266266,4.320933853,0.51111675,1.0
S-,0.279079079079,0.0721521521522,0.231941582,0.219407462,1.0
CH4,8.02802802803,2.97297297297,3.012709319,0.684518008,1.0
