,new_model,old_model,upper_limit,lower_limit
oxygen_bubble_rate,0.0,0.0,,
nitrogen_source,170.39588,167.691373,193.0,0.0
nitrogen_ratio,0.0932218103,0.0592937669,0.1,0.0
carbon_source_from_5e4,52432.4324,99009.009,100000.0,10000.0
oxygen_source,16553.5135,15507.027,66000.0,660.0
methane_source,2830.0,2830.0,800000.0,0.0
t_max,0.4,0.4,,
sminus_precipitation,0.0965393666,0.0,0.4,0.0
fe_precipitation,0.0639060123,0.0661210182,0.4,0.0
carbon_precip,0.00868327122,0.147659072,0.4,0.0
diffusion_constant,130.895343,77.7478986,158.0,5.0
ma_op_o_fe_rate_const,10.0,10.0,,
ma_op_o_n_rate_const,5.0,5.0,,
ma_op_o_s_rate_const,0.16,0.16,,
ma_op_fe_n_rate_const,0.65088727,2.74743708,3.0,0.6
ma_op_s_n_rate_const,0.16807259,0.0,0.5,0.0
ma_op_ch4_o_rate_const,10000.0,10000.0,,
ma_op_ch4_n_rate_const,34.1371397,0.0,100.0,0.0
ma_op_ch4_s_rate_const,0.01,0.01,,
primary_ox_rate_const,2.00946863,2.22209918,3.0,2.9999999999999997e-05
c_lim_o,20.0,20.0,,
c_lim_n,5.0,5.0,,
c_lim_fe,0.1,0.1,,
c_lim_s,30.0,30.0,,
C,1.55067447,0.508921069,2.8,0.0
N-,3.95156918,5.98918069,8.24,0.0
S-,0.163120493,0.283666731,1.36,0.0
CH4,3.00092414,8.02864567,10.0,0.0
Fe-,0.415706976913,0.491221472257,,
N+,0.818041113592,0.769363903053,,
O,0.275122702656,0.0579604552629,,
S+,0.773227738483,0.845973018746,,
Ammonia Oxidation (oxygen),0.647205634013,0.733623630935,,
C1 Oxidation (Sum),-0.707954645044,-1.02805034552,,
Denitrification (Sum),-1.85644880163,-0.573224365163,,
Iron Reduction,-0.200903221249,-0.417504662629,,
Methanogenesis,1.0,1.0,,
Sulfate Reduction + Sulfur Oxidation (Sum),0.638621449069,-0.485158926779,,
chem average,0.570524632911,0.541129712329725,,
rate average,-0.07991326414016665,-0.12838577819266664,,
model average,0.1802618946803,0.13942041801628996,,
