	bin	pid	annotation
0	bin_10	HDCFHKLP_00571	fe_red_geobacter
1	bin_10	HDCFHKLP_00572	fe_red_geobacter
2	bin_10	HDCFHKLP_01370	fe_red_geobacter
3	bin_10	HDCFHKLP_02421	fe_red_geobacter
4	bin_10	HDCFHKLP_02493	fe_red_geobacter
5	bin_10	HDCFHKLP_03808	fe_red_geobacter
6	bin_25	DEMCJCJC_00808	fe_red_geobacter
7	bin_34	LGAJHCHI_00102	fe_red_geobacter
8	bin_34	LGAJHCHI_00161	fe_red_geobacter
9	bin_34	LGAJHCHI_00162	fe_red_geobacter
10	bin_34	LGAJHCHI_00163	fe_red_geobacter
11	bin_34	LGAJHCHI_00164	fe_red_geobacter
12	bin_34	LGAJHCHI_00260	fe_red_geobacter
13	bin_34	LGAJHCHI_00263	fe_red_geobacter
14	bin_34	LGAJHCHI_01383	fe_red_geobacter
15	bin_34	LGAJHCHI_01396	fe_red_geobacter
16	bin_34	LGAJHCHI_01435	fe_red_geobacter
17	bin_34	LGAJHCHI_01436	fe_red_geobacter
18	bin_34	LGAJHCHI_01691	fe_red_geobacter
19	bin_34	LGAJHCHI_02054	fe_red_geobacter
20	bin_34	LGAJHCHI_04748	fe_red_geobacter
21	bin_36	JKNJNDAM_00720	fe_red_geobacter
22	bin_4	EJLBMEFP_02411	fe_red_geobacter
23	bin_58	KDKMPMAC_01296	fe_red_geobacter
24	bin_62	MFPGMBLC_00130	fe_red_geobacter
25	bin_76	NHINCJFK_01814	fe_red_geobacter
26	bin_77	OMDGGNMK_01260	fe_red_geobacter
27	unbinned	IJDLJFPM_00028	fe_red_geobacter
28	unbinned	IJDLJFPM_00469	fe_red_geobacter
29	unbinned	IJDLJFPM_00517	fe_red_geobacter
30	unbinned	IJDLJFPM_00537	fe_red_geobacter
31	unbinned	IJDLJFPM_00676	fe_red_geobacter
32	unbinned	IJDLJFPM_00683	fe_red_geobacter
33	unbinned	IJDLJFPM_00956	fe_red_geobacter
34	unbinned	IJDLJFPM_01144	fe_red_geobacter
35	unbinned	IJDLJFPM_01146	fe_red_geobacter
36	unbinned	IJDLJFPM_01156	fe_red_geobacter
37	unbinned	IJDLJFPM_01189	fe_red_geobacter
38	unbinned	IJDLJFPM_01230	fe_red_geobacter
39	unbinned	IJDLJFPM_01231	fe_red_geobacter
40	unbinned	IJDLJFPM_01298	fe_red_geobacter
41	unbinned	IJDLJFPM_01319	fe_red_geobacter
42	unbinned	IJDLJFPM_01415	fe_red_geobacter
43	unbinned	IJDLJFPM_01481	fe_red_geobacter
44	unbinned	IJDLJFPM_01735	fe_red_geobacter
45	unbinned	IJDLJFPM_02505	fe_red_geobacter
