bin.63.orig.fa	Bacteria_100;Proteobacteria_80
bin.58.strict.fa	Bacteria_97;Proteobacteria_88;Gammaproteobacteria_79
bin.5.orig.fa	Bacteria_94
bin.24.strict.fa	Bacteria_96;Proteobacteria_86;Betaproteobacteria_58;Burkholderiales_73
bin.44.strict.fa	Bacteria_95
bin.18.orig.fa	Bacteria_97
bin.52.orig.fa	Bacteria_99;Cyanobacteria_88
bin.11.strict.fa	Bacteria_97
bin.31.orig.fa	Bacteria_99
bin.30.orig.fa	Bacteria_100;Proteobacteria_76
bin.86.strict.fa	Bacteria_98;Bacteroidetes_82
bin.73.orig.fa	Bacteria_100;Proteobacteria_76;Betaproteobacteria_76
bin.1.orig.fa	Bacteria_100
bin.25.permissive.fa	Bacteria_99;Proteobacteria_59
bin.36.orig.fa	Bacteria_100
bin.41.strict.fa	Bacteria_99;Proteobacteria_84;Gammaproteobacteria_88
bin.76.strict.fa	Bacteria_100;Proteobacteria_82
bin.51.orig.fa	Bacteria_100;Actinobacteria_99
bin.27.strict.fa	Bacteria_99;Bacteroidetes_94;Flavobacteriia_96;Flavobacteriales_100;Flavobacteriaceae_99
bin.71.orig.fa	Bacteria_99;Proteobacteria_88;Betaproteobacteria_61
bin.54.permissive.fa	Bacteria_100
bin.62.orig.fa	Bacteria_100;Proteobacteria_94;Gammaproteobacteria_96;Methylococcales_54;Methylococcaceae_100
bin.9.orig.fa	Bacteria_99;Proteobacteria_88
bin.47.permissive.fa	Bacteria_91
bin.83.strict.fa	Bacteria_99;Proteobacteria_95;Betaproteobacteria_61;Burkholderiales_62
bin.72.orig.fa	Bacteria_95;Bacteroidetes_87
bin.42.strict.fa	Bacteria_97
bin.29.orig.fa	Bacteria_99;Cyanobacteria_84;Synechococcales_100;Synechococcaceae_100
bin.4.strict.fa	Bacteria_100;Proteobacteria_89;Betaproteobacteria_88;Burkholderiales_84;Comamonadaceae_75
bin.59.orig.fa	Bacteria_99
bin.35.orig.fa	Bacteria_95;Bacteroidetes_78
bin.6.orig.fa	Bacteria_100;Actinobacteria_100
bin.34.strict.fa	Bacteria_98;Proteobacteria_73
bin.78.strict.fa	Bacteria_99;Proteobacteria_86;Gammaproteobacteria_81;Methylococcales_66;Methylococcaceae_100
bin.87.orig.fa	Bacteria_96;Actinobacteria_61;Actinobacteria_74;Candidatus Nanopelagicales_91
bin.26.orig.fa	Bacteria_100;Proteobacteria_99;Gammaproteobacteria_100;Enterobacterales_100;Enterobacteriaceae_99
bin.33.strict.fa	Bacteria_99;Proteobacteria_94;Betaproteobacteria_88;Burkholderiales_95;Comamonadaceae_88
bin.77.strict.fa	Bacteria_100;Proteobacteria_84;Betaproteobacteria_57
bin.82.orig.fa	Bacteria_100;Actinobacteria_99;Actinobacteria_97;Candidatus Nanopelagicales_100;Candidatus Planktophila_91;Candidatus Planktophila limnetica_98
bin.84.strict.fa	Bacteria_93
bin.85.orig.fa	Bacteria_99;Proteobacteria_78;Betaproteobacteria_56
bin.13.orig.fa	Bacteria_99;Proteobacteria_97;Betaproteobacteria_78;Nitrosomonadales_81;Nitrosomonadaceae_98
