Bin	Hit 1	Score 1	Hit 2	Score 2	Hit 3	Score 3	Hit 4	Score 4	Hit 5	Score 5	metric
bin_10_a	T00708: Geobacter lovleyi SZ	0.668135373803	T00521: Geobacter uraniireducens Rf4	0.637807531858	T00155: Geobacter sulfurreducens PCA	0.634919816024	T00846: Geobacter daltonii FRC-32	0.6341833942	T00295: Geobacter metallireducens GS-15	0.633372978286	spearman correlation
bin_10_b	T00708: Geobacter lovleyi SZ	1660.12949404	T00846: Geobacter daltonii FRC-32	1660.15598262	T00933: Geobacter sp. M21	1660.51535878	T00295: Geobacter metallireducens GS-15	1661.03139812	T00749: Geobacter bemidjiensis Bem	1661.12921627	standardized euclidean dist
bin_11_a	T05091: Candidatus Nanopelagicus abundans MMS-IIB-91	0.535380393266	T05067: Candidatus Planktophila limnetica	0.533743335375	T05319: Candidatus Planktophila vernalis MMS-IIA-15	0.524575769304	T05090: Candidatus Nanopelagicus hibericus MMS-21-160	0.524070951579	T05073: Candidatus Nanopelagicus limnes	0.522885144025	spearman correlation
bin_11_b	T02582: Candidatus Mycoplasma haemominutum 'Birmingham 1'	1377.71208995	T04673.1: 	1377.99443689	T04673: Bacterium AB1	1377.99443689	T02962: Mycoplasma ovis Michigan	1378.38638511	T05090: Candidatus Nanopelagicus hibericus MMS-21-160	1378.44189167	standardized euclidean dist
bin_12_a	T04336: Bacteroidetes bacterium UKL13-3	0.757235939723	T04064: Hymenobacter sp. DG25A	0.67247171077	T04326: Rufibacter sp. DG15C	0.671339634844	T05019: Candidatus Fluviicola riflensis RIFCSPHIGHO2_02_FULL_43_260	0.670226302479	T03500: Hymenobacter sp. DG25B	0.668361467619	spearman correlation
bin_12_b	T04336: Bacteroidetes bacterium UKL13-3	1552.11967917	T01660: Blattabacterium sp. Cpu, endosymbiont of Cryptocercus punctulatus (brown-hooded cockroach)	1554.8093847	T01642: Blattabacterium sp. (Mastotermes darwiniensis) MADAR, endosymbiont of Mastotermes darwiniensis (giant northern termite)	1555.20151968	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1555.69325928	T02446: Blattabacterium sp. (Blatta orientalis) Tarazona	1555.84260204	standardized euclidean dist
bin_13_a	T01569: Nitrosomonas sp. Is79A3	0.700617014856	T04188: Nitrosomonas ureae Nm10	0.690165794482	T01443: Nitrosomonas sp. AL212	0.689262597008	T00393: Nitrosomonas eutropha C91	0.635028603582	T00130: Nitrosomonas europaea ATCC 19718	0.631915346857	spearman correlation
bin_13_b	T01569: Nitrosomonas sp. Is79A3	1623.18391731	T01443: Nitrosomonas sp. AL212	1623.85264102	T04188: Nitrosomonas ureae Nm10	1624.04714406	T04907: Nitrosospira lacus APG3	1624.96185091	T03942: Nitrosomonas communis Nm2	1625.1801649	standardized euclidean dist
bin_14_a	T04929: Methylovulum psychrotolerans HV10_M2	0.722968794005	T01511: Methylomonas methanica MC09	0.691554688103	T04396: Methylomonas sp. DH-1	0.678321731769	T05118: Methylomonas koyamae LM6	0.677350120185	T01649: Methylomicrobium alcaliphilum	0.667601276308	spearman correlation
bin_14_b	T04929: Methylovulum psychrotolerans HV10_M2	1775.50084498	T03869: Candidatus Methylopumilus planktonicus (Methylophilaceae bacterium MMS-2-53)	1775.71402974	T03844: Candidatus Methylopumilus turicensis (Methylophilaceae bacterium MMS-10A-171)	1775.88637886	T00438: Candidatus Ruthia magnifica Cm, endosymbiont of Calyptogena magnifica (hydrothermal vent clam)	1776.20981747	T02427: Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	1776.26347406	standardized euclidean dist
bin_15_a	T03591: Sulfuritalea hydrogenivorans sk43H	0.748122387542	T02857: Sulfuricella denitrificans skB26	0.632036127798	T01657: Dechlorosoma suillum PS	0.62764439657	T00966: Candidatus Accumulibacter phosphatis clade IIA UW-1	0.613050174449	T00259: Dechloromonas aromatica RCB	0.610172955255	spearman correlation
bin_15_b	T03591: Sulfuritalea hydrogenivorans sk43H	1761.78723161	T02857: Sulfuricella denitrificans skB26	1765.73962368	T00683: Polynucleobacter necessarius subsp. necessarius STIR1	1766.3030281	T01196: Sideroxydans lithotrophicus ES-1	1766.34507683	T04612: Thauera chlorobenzoica 3CB1	1766.69289385	standardized euclidean dist
bin_16_a	T03818: Fermentimonas caenicola	0.607483147625	T04553: Petrimonas mucosa ING2-E5A	0.605463990416	T03072: Draconibacterium orientale FH5T	0.605138491577	T02861: Bacteroidales bacterium CF	0.60443361364	T05132: Petrimonas sp. IBARAKI	0.601037546707	spearman correlation
bin_16_b	T00792: Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2, endosymbiont of Coptotermes formosanus (Formosan subterranean termite)	1565.18422262	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1565.4531096	T02446: Blattabacterium sp. (Blatta orientalis) Tarazona	1565.73092583	T00996: Blattabacterium sp. BPLAN, endosymbiont of Periplaneta americana (American cockroach)	1565.7532762	T02525: Blattabacterium sp. (Panesthia angustipennis spadica) BPAA	1565.79826178	standardized euclidean dist
bin_17_a	T04567: Lacunisphaera limnophila	0.627467738446	T00689: Opitutus terrae PB90-1	0.577201238422	T03830: Verrucomicrobia bacterium IMCC26134	0.568917370153	T03683: Opitutaceae bacterium TAV5	0.519375952674	T01204: Coraliomargarita akajimensis DSM 45221	0.493529936861	spearman correlation
bin_17_b	T04567: Lacunisphaera limnophila	1642.3567175	T03830: Verrucomicrobia bacterium IMCC26134	1643.33009563	T00689: Opitutus terrae PB90-1	1643.89496761	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	1645.10538574	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1646.10242238	standardized euclidean dist
bin_18_a	T01800: Phycisphaera mikurensis NBRC 102666	0.560527363499	T01147: Pirellula staleyi DSM 6068	0.530114538218	T01225: Planctopirus limnophila DSM 3776 (Planctomyces limnophilus DSM 3776)	0.523241489293	T05034: Thermogutta terrifontis R1	0.519230290207	T01407: Isosphaera pallida ATCC 43644	0.516711887802	spearman correlation
bin_18_b	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	1611.90746282	T05034: Thermogutta terrifontis R1	1612.00070248	T01800: Phycisphaera mikurensis NBRC 102666	1612.37609168	T02197: Candidatus Carsonella ruddii HC, endosymbiont of Heteropsylla cubana	1612.83132519	T02774: Candidatus Carsonella ruddii DC, endosymbiont of Diaphorina citri (Asian citrus psyllid)	1612.99140189	standardized euclidean dist
