/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/94258.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.67.strict.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	8304	9490	1187	8304	8304	99.98	8304	14499	100.00	57.27	Ga0136516_1001	NODE_10_length_14499_cov_15.219814
1	23734	467089	490822	23734	23734	99.96	23734	870392	100.00	2.73	Ga0136516_1002	NODE_1_length_870392_cov_16.821390
1	15335	720104	704770	15335	15335	99.93	15335	855862	100.00	1.79	Ga0136516_1003	NODE_2_length_855862_cov_14.479806
1	19376	86653	106029	19376	19377	99.93	19376	198108	100.00	9.78	Ga0136516_1004	NODE_5_length_198108_cov_15.509207
1	11003	98289	109290	11003	11002	99.95	11003	855862	100.00	1.29	Ga0136516_1005	NODE_2_length_855862_cov_14.479806
1	8902	367593	358708	8902	8886	99.43	8902	670680	100.00	1.32	Ga0136516_1006	NODE_3_length_670680_cov_19.109861
1	6021	3146	9166	6021	6021	100.00	9912	9166	60.74	65.69	Ga0136516_1007	NODE_13_length_9166_cov_19.540885
6668	9912	1	3245	3245	3245	100.00	9912	9166	32.74	35.40	Ga0136516_1007	NODE_13_length_9166_cov_19.540885
1	24898	153215	178112	24898	24898	99.92	24898	198108	100.00	12.57	Ga0136516_1008	NODE_5_length_198108_cov_15.509207
1	7142	166492	159351	7142	7142	99.97	7142	870392	100.00	0.82	Ga0136516_1009	NODE_1_length_870392_cov_16.821390
1	26452	775901	802352	26452	26452	99.97	26452	855862	100.00	3.09	Ga0136516_1010	NODE_2_length_855862_cov_14.479806
1	23223	624428	601206	23223	23223	99.92	23223	855862	100.00	2.71	Ga0136516_1011	NODE_2_length_855862_cov_14.479806
1	11395	1400	12794	11395	11395	99.89	11395	198108	100.00	5.75	Ga0136516_1012	NODE_5_length_198108_cov_15.509207
1	3790	689319	693108	3790	3790	99.92	3790	870392	100.00	0.44	Ga0136516_1013	NODE_1_length_870392_cov_16.821390
1	6877	689445	682569	6877	6877	99.96	6877	870392	100.00	0.79	Ga0136516_1014	NODE_1_length_870392_cov_16.821390
4	38455	189294	227747	38452	38454	99.95	38455	670680	99.99	5.73	Ga0136516_1015	NODE_3_length_670680_cov_19.109861
1	17802	166395	184196	17802	17802	99.97	17802	870392	100.00	2.05	Ga0136516_1016	NODE_1_length_870392_cov_16.821390
1	7475	375105	367631	7475	7475	99.93	7475	670680	100.00	1.11	Ga0136516_1017	NODE_3_length_670680_cov_19.109861
1	22497	255448	232952	22497	22497	99.98	22497	870392	100.00	2.58	Ga0136516_1018	NODE_1_length_870392_cov_16.821390
1	4768	724890	720123	4768	4768	100.00	4771	855862	99.94	0.56	Ga0136516_1019	NODE_2_length_855862_cov_14.479806
1	22532	42112	19581	22532	22532	99.94	22532	855862	100.00	2.63	Ga0136516_1020	NODE_2_length_855862_cov_14.479806
1	22540	311856	334395	22540	22540	99.95	22540	870392	100.00	2.59	Ga0136516_1021	NODE_1_length_870392_cov_16.821390
1	25837	349227	375063	25837	25837	99.93	25837	855862	100.00	3.02	Ga0136516_1022	NODE_2_length_855862_cov_14.479806
1	28579	403460	374882	28579	28579	99.96	28579	855862	100.00	3.34	Ga0136516_1023	NODE_2_length_855862_cov_14.479806
1	4817	412529	417345	4817	4817	99.92	4817	855862	100.00	0.56	Ga0136516_1024	NODE_2_length_855862_cov_14.479806
1	96687	159372	62686	96687	96687	99.98	96687	870392	100.00	11.11	Ga0136516_1025	NODE_1_length_870392_cov_16.821390
1	34954	348925	313972	34954	34954	99.94	34954	670680	100.00	5.21	Ga0136516_1026	NODE_3_length_670680_cov_19.109861
1	47196	617867	570672	47196	47196	99.94	47196	870392	100.00	5.42	Ga0136516_1027	NODE_1_length_870392_cov_16.821390
1	31378	153442	122065	31378	31378	99.96	31378	198108	100.00	15.84	Ga0136516_1028	NODE_5_length_198108_cov_15.509207
1	6974	382026	375053	6974	6974	99.94	6974	670680	100.00	1.04	Ga0136516_1029	NODE_3_length_670680_cov_19.109861
1	4773	98277	93505	4773	4773	99.83	4773	855862	100.00	0.56	Ga0136516_1030	NODE_2_length_855862_cov_14.479806
1	3233	4311	1079	3233	3233	100.00	3233	205662	100.00	1.57	Ga0136516_1031	NODE_4_length_205662_cov_16.506213
1	18643	236892	218250	18643	18643	99.98	18643	855862	100.00	2.18	Ga0136516_1032	NODE_2_length_855862_cov_14.479806
1	29789	542063	512259	29789	29805	99.93	30855	670680	96.55	4.44	Ga0136516_1033	NODE_3_length_670680_cov_19.109861
1	7165	44452	37288	7165	7165	99.79	7165	205662	100.00	3.48	Ga0136516_1034	NODE_4_length_205662_cov_16.506213
1	26247	63299	89545	26247	26247	99.94	26247	855862	100.00	3.07	Ga0136516_1035	NODE_2_length_855862_cov_14.479806
1	22998	578437	601434	22998	22998	99.95	22998	855862	100.00	2.69	Ga0136516_1036	NODE_2_length_855862_cov_14.479806
1	21337	63356	42020	21337	21337	99.96	21337	855862	100.00	2.49	Ga0136516_1037	NODE_2_length_855862_cov_14.479806
1	16120	44397	60526	16120	16130	99.90	74300	205662	21.70	7.84	Ga0136516_1038	NODE_4_length_205662_cov_16.506213
16686	74300	60509	118123	57615	57615	99.97	74300	205662	77.54	28.01	Ga0136516_1038	NODE_4_length_205662_cov_16.506213
1	27867	276589	304455	27867	27867	99.95	27867	670680	100.00	4.16	Ga0136516_1039	NODE_3_length_670680_cov_19.109861
1	8555	481294	472740	8555	8555	99.94	8555	855862	100.00	1.00	Ga0136516_1040	NODE_2_length_855862_cov_14.479806
1	3102	348617	351718	3102	3102	99.94	3102	670680	100.00	0.46	Ga0136516_1041	NODE_3_length_670680_cov_19.109861
104	87643	205662	118123	87540	87540	99.97	87643	205662	99.88	42.56	Ga0136516_1042	NODE_4_length_205662_cov_16.506213
46	5655	1	5610	5610	5610	100.00	5700	5610	98.42	100.00	Ga0136516_1043	NODE_16_length_5610_cov_23.189559
1	12505	157472	169976	12505	12505	99.92	12505	670680	100.00	1.86	Ga0136516_1044	NODE_3_length_670680_cov_19.109861
1	9736	855639	845904	9736	9736	99.94	9736	855862	100.00	1.14	Ga0136516_1045	NODE_2_length_855862_cov_14.479806
1	9732	565178	574909	9732	9732	99.68	9732	855862	100.00	1.14	Ga0136516_1046	NODE_2_length_855862_cov_14.479806
1	47753	60454	12702	47753	47753	99.95	47753	198108	100.00	24.10	Ga0136516_1047	NODE_5_length_198108_cov_15.509207
1	8287	151625	159911	8287	8287	99.99	8287	855862	100.00	0.97	Ga0136516_1048	NODE_2_length_855862_cov_14.479806
10735	14379	273043	276688	3645	3646	99.70	14379	670680	25.35	0.54	Ga0136516_1049	NODE_3_length_670680_cov_19.109861
1	16139	52709	36571	16139	16139	99.98	16139	670680	100.00	2.41	Ga0136516_1050	NODE_3_length_670680_cov_19.109861
1	21678	445614	467291	21678	21678	99.96	21678	870392	100.00	2.49	Ga0136516_1051	NODE_1_length_870392_cov_16.821390
1	9967	589160	599126	9967	9967	99.96	9967	670680	100.00	1.49	Ga0136516_1052	NODE_3_length_670680_cov_19.109861
1	15624	743553	759176	15624	15624	99.95	15624	870392	100.00	1.80	Ga0136516_1053	NODE_1_length_870392_cov_16.821390
100	50553	693152	743605	50454	50454	99.98	50553	870392	99.80	5.80	Ga0136516_1054	NODE_1_length_870392_cov_16.821390
1	5930	489853	495782	5930	5930	99.95	5930	670680	100.00	0.88	Ga0136516_1055	NODE_3_length_670680_cov_19.109861
1	105140	157757	52618	105140	105140	99.97	105140	670680	100.00	15.68	Ga0136516_1056	NODE_3_length_670680_cov_19.109861
1	16336	311902	295568	16336	16335	99.92	16336	870392	100.00	1.88	Ga0136516_1057	NODE_1_length_870392_cov_16.821390
1	12663	505397	518059	12663	12663	99.97	12663	855862	100.00	1.48	Ga0136516_1058	NODE_2_length_855862_cov_14.479806
1	35779	650209	614431	35779	35779	99.96	35779	670680	100.00	5.33	Ga0136516_1059	NODE_3_length_670680_cov_19.109861
107	30648	870392	839839	30542	30554	99.79	30648	870392	99.65	3.51	Ga0136516_1060	NODE_1_length_870392_cov_16.821390
1	5949	542224	548172	5949	5949	99.97	32857	670680	18.11	0.89	Ga0136516_1061	NODE_3_length_670680_cov_19.109861
5312	32857	548201	575746	27546	27546	99.95	32857	670680	83.84	4.11	Ga0136516_1061	NODE_3_length_670680_cov_19.109861
1	14231	816342	802112	14231	14231	99.94	14231	855862	100.00	1.66	Ga0136516_1062	NODE_2_length_855862_cov_14.479806
206	3035	561512	564341	2830	2830	99.89	3035	855862	93.25	0.33	Ga0136516_1063	NODE_2_length_855862_cov_14.479806
1	14201	22208	8008	14201	14201	99.95	14201	67979	100.00	20.89	Ga0136516_1064	NODE_6_length_67979_cov_15.106266
1	3193	18432	15240	3193	3193	100.00	3193	205662	100.00	1.55	Ga0136516_1066	NODE_4_length_205662_cov_16.506213
1	8309	786166	794474	8309	8309	99.94	8309	870392	100.00	0.95	Ga0136516_1067	NODE_1_length_870392_cov_16.821390
1	15889	830131	846019	15889	15889	99.96	15889	855862	100.00	1.86	Ga0136516_1068	NODE_2_length_855862_cov_14.479806
1	10095	474498	484592	10095	10095	99.92	15447	670680	65.35	1.51	Ga0136516_1069	NODE_3_length_670680_cov_19.109861
10445	15447	484942	489944	5003	5003	99.94	15447	670680	32.39	0.75	Ga0136516_1069	NODE_3_length_670680_cov_19.109861
1	13596	432116	445711	13596	13596	99.96	14496	870392	93.79	1.56	Ga0136516_1070	NODE_1_length_870392_cov_16.821390
1	22844	505454	482611	22844	22844	99.94	22844	855862	100.00	2.67	Ga0136516_1071	NODE_2_length_855862_cov_14.479806
1	80331	268994	349324	80331	80331	99.98	80331	855862	100.00	9.39	Ga0136516_1072	NODE_2_length_855862_cov_14.479806
2285	80084	492965	570764	77800	77800	99.97	80084	870392	97.15	8.94	Ga0136516_1073	NODE_1_length_870392_cov_16.821390
95	35072	34978	1	34978	34978	99.97	39424	670680	88.72	5.22	Ga0136516_1074	NODE_3_length_670680_cov_19.109861
35182	39424	35609	31367	4243	4243	99.69	39424	35609	10.76	11.92	Ga0136516_1074	NODE_7_length_35609_cov_17.975474
1	58521	159828	218349	58521	58522	99.96	58521	855862	100.00	6.84	Ga0136516_1075	NODE_2_length_855862_cov_14.479806
1	40291	295642	255349	40291	40294	99.98	40291	870392	100.00	4.63	Ga0136516_1076	NODE_1_length_870392_cov_16.821390
1	20073	334986	355058	20073	20073	99.96	20073	870392	100.00	2.31	Ga0136516_1077	NODE_1_length_870392_cov_16.821390
1	3077	11423	14499	3077	3077	100.00	4201	14499	73.24	21.22	Ga0136516_1078	NODE_10_length_14499_cov_15.219814
1	57969	431958	373990	57969	57969	99.96	57970	870392	100.00	6.66	Ga0136516_1079	NODE_1_length_870392_cov_16.821390
1	23802	762579	786381	23802	23803	99.96	23802	870392	100.00	2.73	Ga0136516_1080	NODE_1_length_870392_cov_16.821390
1	6116	824045	830160	6116	6116	99.97	6116	855862	100.00	0.71	Ga0136516_1081	NODE_2_length_855862_cov_14.479806
1	7185	358814	351630	7185	7185	99.92	7185	670680	100.00	1.07	Ga0136516_1082	NODE_3_length_670680_cov_19.109861
1	7179	358641	365819	7179	7179	99.94	7179	870392	100.00	0.82	Ga0136516_1083	NODE_1_length_870392_cov_16.821390
1	32084	839837	807754	32084	32084	99.95	32084	870392	100.00	3.69	Ga0136516_1084	NODE_1_length_870392_cov_16.821390
165	6577	373694	367282	6413	6413	99.88	6577	870392	97.51	0.74	Ga0136516_1085	NODE_1_length_870392_cov_16.821390
1	48431	233051	184621	48431	48431	99.97	48431	870392	100.00	5.56	Ga0136516_1086	NODE_1_length_870392_cov_16.821390
1	4094	264955	269048	4094	4094	100.00	4094	855862	100.00	0.48	Ga0136516_1087	NODE_2_length_855862_cov_14.479806
1	21712	472983	451272	21712	21712	99.94	21712	855862	100.00	2.54	Ga0136516_1088	NODE_2_length_855862_cov_14.479806
1	4240	447109	451348	4240	4240	100.00	4240	855862	100.00	0.50	Ga0136516_1089	NODE_2_length_855862_cov_14.479806
1	16603	495683	512285	16603	16603	99.95	17387	670680	95.49	2.48	Ga0136516_1090	NODE_3_length_670680_cov_19.109861
1	15462	655219	670680	15462	15462	99.94	15653	670680	98.78	2.31	Ga0136516_1091	NODE_3_length_670680_cov_19.109861
1	18354	273224	254871	18354	18354	99.99	22310	670680	82.27	2.74	Ga0136516_1092	NODE_3_length_670680_cov_19.109861
18674	22310	254551	250915	3637	3637	99.89	22310	670680	16.30	0.54	Ga0136516_1092	NODE_3_length_670680_cov_19.109861
1	36353	668493	704845	36353	36353	99.94	36353	855862	100.00	4.25	Ga0136516_1093	NODE_2_length_855862_cov_14.479806
1	51161	724813	775973	51161	51161	99.96	51161	855862	100.00	5.98	Ga0136516_1094	NODE_2_length_855862_cov_14.479806
