/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/94261.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.24.permissive.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	76269	326988	250720	76269	76269	100.00	76269	569999	100.00	13.38	Ga0136519_1001	NODE_3_length_569999_cov_9.097582
1	63356	258393	321748	63356	63356	100.00	63356	472142	100.00	13.42	Ga0136519_1002	NODE_5_length_472142_cov_8.592149
1	59815	403508	343694	59815	59815	100.00	59815	472142	100.00	12.67	Ga0136519_1003	NODE_5_length_472142_cov_8.592149
42	56377	1	56336	56336	56336	100.00	56377	520718	99.93	10.82	Ga0136519_1004	NODE_4_length_520718_cov_8.806076
1	52765	141839	89075	52765	52765	100.00	52765	253019	100.00	20.85	Ga0136519_1005	NODE_11_length_253019_cov_9.147523
1	49961	103879	153839	49961	49961	100.00	49961	569999	100.00	8.77	Ga0136519_1006	NODE_3_length_569999_cov_9.097582
1	47391	411598	364208	47391	47391	100.00	47391	464804	100.00	10.20	Ga0136519_1007	NODE_6_length_464804_cov_8.550411
1	47363	405962	453324	47363	47363	100.00	47363	569999	100.00	8.31	Ga0136519_1008	NODE_3_length_569999_cov_9.097582
1	43016	212000	168985	43016	43016	100.00	43016	569999	100.00	7.55	Ga0136519_1009	NODE_3_length_569999_cov_9.097582
1	41543	207303	248845	41543	41543	100.00	41543	647196	100.00	6.42	Ga0136519_1010	NODE_1_length_647196_cov_8.357042
1	40358	245368	285725	40358	40358	100.00	40358	520718	100.00	7.75	Ga0136519_1011	NODE_4_length_520718_cov_8.806076
1	38110	190445	228554	38110	38110	100.00	38110	464804	100.00	8.20	Ga0136519_1012	NODE_6_length_464804_cov_8.550411
1	37017	289923	326939	37017	37017	100.00	37017	634999	100.00	5.83	Ga0136519_1013	NODE_2_length_634999_cov_7.524191
1	36060	22012	58071	36060	36060	100.00	36060	647196	100.00	5.57	Ga0136519_1014	NODE_1_length_647196_cov_8.357042
1	35505	82115	46611	35505	35505	100.00	35505	464804	100.00	7.64	Ga0136519_1015	NODE_6_length_464804_cov_8.550411
1	35284	52025	16742	35284	35284	100.00	35284	253019	100.00	13.95	Ga0136519_1016	NODE_11_length_253019_cov_9.147523
1	33592	175374	141783	33592	33592	100.00	33592	253019	100.00	13.28	Ga0136519_1017	NODE_11_length_253019_cov_9.147523
1	33486	10293	43778	33486	33486	100.00	33486	43781	100.00	76.49	Ga0136519_1018	NODE_21_length_43781_cov_8.404267
37	32893	291836	258980	32857	32857	100.00	32893	291836	99.89	11.26	Ga0136519_1019	NODE_8_length_291836_cov_8.267244
1	32817	104154	136970	32817	32817	100.00	32817	261370	100.00	12.56	Ga0136519_1020	NODE_10_length_261370_cov_8.002859
1	32346	54365	22020	32346	32346	100.00	32346	55578	100.00	58.20	Ga0136519_1021	NODE_19_length_55578_cov_7.639447
1	31290	160748	192037	31290	31290	100.00	31290	472142	100.00	6.63	Ga0136519_1022	NODE_5_length_472142_cov_8.592149
1	31127	176030	144904	31127	31127	100.00	31127	291836	100.00	10.67	Ga0136519_1023	NODE_8_length_291836_cov_8.267244
1	30285	241944	211660	30285	30285	100.00	30285	253019	100.00	11.97	Ga0136519_1024	NODE_11_length_253019_cov_9.147523
1	29782	249397	219616	29782	29782	100.00	29782	569999	100.00	5.22	Ga0136519_1025	NODE_3_length_569999_cov_9.097582
1	29444	65805	95248	29444	29444	100.00	29444	99278	100.00	29.66	Ga0136519_1026	NODE_16_length_99278_cov_8.133205
1	4924	168751	163828	4924	4924	100.00	28838	277103	17.07	1.78	Ga0136519_1027	NODE_9_length_277103_cov_8.075236
