Bin	ProteinID	Annotation
bin_1	GOOLCNIJ_01258	K00376
bin_1	GOOLCNIJ_01261	K07218
bin_1	GOOLCNIJ_02950	K17225
bin_1	GOOLCNIJ_02951	K08738
bin_10	HDCFHKLP_01755	K00363
bin_11	CKKMPDND_01078	K00368
bin_12	FEDNEPMN_00020	K00376
bin_12	FEDNEPMN_00022	K07218
bin_12	FEDNEPMN_02307	K04561
bin_13	KJBFHAAK_01187	K10944
bin_13	KJBFHAAK_01188	K10945
bin_13	KJBFHAAK_01204	K00855
bin_14	MOPLEMBB_00172	K10946
bin_14	MOPLEMBB_00173	K10944
bin_14	MOPLEMBB_00174	K10945
bin_14	MOPLEMBB_01816	K02305
bin_14	MOPLEMBB_01817	K04561
bin_15	IOPBJFGJ_00435	K02567
bin_15	IOPBJFGJ_00438	K02568
bin_15	IOPBJFGJ_00487	K08738
bin_15	IOPBJFGJ_00489	K08738
bin_15	IOPBJFGJ_00730	K15864
bin_15	IOPBJFGJ_01081	K17226
bin_15	IOPBJFGJ_01082	K17227
bin_15	IOPBJFGJ_01083	K17222
bin_15	IOPBJFGJ_01084	K17223
bin_15	IOPBJFGJ_01085	K17224
bin_15	IOPBJFGJ_01325	K10535
bin_15	IOPBJFGJ_02160	K00376
bin_15	IOPBJFGJ_02164	K07218
bin_15	IOPBJFGJ_02172	K07218
bin_15	IOPBJFGJ_02485	K15864
bin_15	IOPBJFGJ_02684	K08738
bin_15	IOPBJFGJ_02840	K11181
bin_15	IOPBJFGJ_02903	K00394
bin_15	IOPBJFGJ_02980	K17222
bin_15	IOPBJFGJ_03167	K08738
bin_15	IOPBJFGJ_03218	K08738
bin_16	JHFBEDLJ_01576	K00371
bin_16	JHFBEDLJ_01577	K00370
bin_16	JHFBEDLJ_03184	K04561
bin_17	JDLOKFIE_03490	K00368
bin_17	JDLOKFIE_05460	K00368
bin_19	GGINHOFJ_00120	K10946
bin_19	GGINHOFJ_00215	K00855
bin_19	GGINHOFJ_00717	K10945
bin_19	GGINHOFJ_00718	K10944
bin_19	GGINHOFJ_01187	K00368
bin_2	KPOMJHBH_03009	K00371
bin_2	KPOMJHBH_03010	K00370
bin_2	KPOMJHBH_04212	K03385
bin_22	KPMMGFAF_00526	K02567
bin_22	KPMMGFAF_00527	K02568
bin_22	KPMMGFAF_04405	K08738
bin_23	GKCJFILG_00379	K00368
bin_24	DANOOOII_00176	K08929
bin_24	DANOOOII_00177	K08928
bin_24	DANOOOII_00195	K08738
bin_24	DANOOOII_01832	K17223
bin_24	DANOOOII_01833	K17222
bin_24	DANOOOII_01834	K17227
bin_24	DANOOOII_01835	K17226
bin_25	DEMCJCJC_00808	K03385
bin_25	DEMCJCJC_00854	K00394
bin_25	DEMCJCJC_01425	K11181
bin_25	DEMCJCJC_01426	K11180
bin_25	DEMCJCJC_02485	K00958
bin_26	NKKGGPGH_01686	K03385
bin_26	NKKGGPGH_01887	K00371
bin_26	NKKGGPGH_01888	K00370
bin_26	NKKGGPGH_02179	K02568
bin_26	NKKGGPGH_02182	K02567
bin_26	NKKGGPGH_03723	K00371
bin_26	NKKGGPGH_03724	K00370
bin_26	NKKGGPGH_03759	K00363
bin_26	NKKGGPGH_03760	K00362
bin_26	NKKGGPGH_03770	K00855
bin_27	COPLIDAH_00832	K08738
bin_27	COPLIDAH_00999	K10535
bin_27	COPLIDAH_01652	K00376
bin_27	COPLIDAH_01910	K02305
bin_27	COPLIDAH_02181	K10946
bin_28	LJODPFPL_02340	K00370
bin_28	LJODPFPL_02341	K00371
bin_28	LJODPFPL_02662	K02305
bin_28	LJODPFPL_02663	K04561
bin_28	LJODPFPL_03040	K00958
bin_28	LJODPFPL_05920	K07218
bin_28	LJODPFPL_06779	K00376
bin_29	FMBNMGCE_00076	K00958
bin_29	FMBNMGCE_01580	K00855
bin_3	NNNGIFOF_00006	K04561
bin_3	NNNGIFOF_00371	K00401
bin_3	NNNGIFOF_00555	K00376
bin_3	NNNGIFOF_00557	K07218
bin_3	NNNGIFOF_01111	K08738
bin_3	NNNGIFOF_01505	K04561
bin_3	NNNGIFOF_03207	K08738
bin_30	PBEBEICL_00194	K08738
bin_30	PBEBEICL_00621	K11181
bin_30	PBEBEICL_00622	K11180
bin_30	PBEBEICL_01392	K17226
bin_30	PBEBEICL_01393	K17227
bin_30	PBEBEICL_01394	K17222
bin_30	PBEBEICL_01395	K17223
bin_30	PBEBEICL_01396	K17224
bin_30	PBEBEICL_01723	K00855
bin_30	PBEBEICL_01759	K00958
bin_30	PBEBEICL_01818	K00394
bin_31	GEBKPEPI_00941	K07218
bin_31	GEBKPEPI_00943	K00376
bin_33	KDPOFKGA_00034	K17225
bin_33	KDPOFKGA_00036	K08738
bin_33	KDPOFKGA_01241	K00370
bin_34	LGAJHCHI_00431	K00363
bin_34	LGAJHCHI_02981	K00371
bin_34	LGAJHCHI_03234	K02567
bin_34	LGAJHCHI_05333	K00370
bin_35	INEJFIFD_01135	K08738
bin_36	JKNJNDAM_00325	K00370
bin_36	JKNJNDAM_00326	K00371
bin_36	JKNJNDAM_00443	K02567
bin_37	EGFMLAOP_00514	K08738
bin_37	EGFMLAOP_01008	K17224
bin_37	EGFMLAOP_01009	K17223
bin_37	EGFMLAOP_01010	K17222
bin_37	EGFMLAOP_01011	K17227
bin_37	EGFMLAOP_01158	K17225
bin_37	EGFMLAOP_01159	K08738
bin_37	EGFMLAOP_01160	K17226
bin_37	EGFMLAOP_02697	K08738
bin_37	EGFMLAOP_02823	K00370
bin_37	EGFMLAOP_03065	K08928
bin_37	EGFMLAOP_04004	K08738
bin_39	MFBAGLJA_00727	K04561
bin_4	EJLBMEFP_00005	K08738
bin_4	EJLBMEFP_00436	K15864
bin_4	EJLBMEFP_00437	K08738
bin_4	EJLBMEFP_01949	K08738
bin_4	EJLBMEFP_02415	K00371
bin_4	EJLBMEFP_02972	K00371
bin_4	EJLBMEFP_02973	K00370
bin_40	ICPDOFHM_00144	K00363
bin_40	ICPDOFHM_00145	K00362
bin_40	ICPDOFHM_00195	K00376
bin_40	ICPDOFHM_00441	K17227
bin_40	ICPDOFHM_00442	K17226
bin_40	ICPDOFHM_00727	K11181
bin_40	ICPDOFHM_00728	K11180
bin_40	ICPDOFHM_00759	K02567
bin_40	ICPDOFHM_00978	K15864
bin_40	ICPDOFHM_01359	K00855
bin_40	ICPDOFHM_01427	K17226
bin_40	ICPDOFHM_01524	K08738
bin_40	ICPDOFHM_02845	K02568
bin_41	MOGIHAPO_00341	K00371
bin_41	MOGIHAPO_00342	K00370
bin_41	MOGIHAPO_00398	K00362
bin_41	MOGIHAPO_00400	K00363
bin_41	MOGIHAPO_00401	K00362
bin_41	MOGIHAPO_01333	K04561
bin_41	MOGIHAPO_01597	K10946
bin_42	HGLAFGDH_00318	K08738
bin_42	HGLAFGDH_00505	K08738
bin_42	HGLAFGDH_01058	K00368
bin_42	HGLAFGDH_01465	K08738
bin_43	OKJIKHIN_00281	K08738
bin_44	MNIBHEFG_00006	K00370
bin_44	MNIBHEFG_00007	K00371
bin_46	OMOCCEHF_00251	K04561
bin_46	OMOCCEHF_01674	K00376
bin_47	GFBNLHJL_00404	K00958
bin_47	GFBNLHJL_00850	K03385
bin_47	GFBNLHJL_01950	K00368
bin_48	IGCKALLP_01338	K07218
bin_48	IGCKALLP_01606	K00376
bin_48	IGCKALLP_01608	K04561
bin_49	APKKBAMP_00039	K08738
bin_49	APKKBAMP_00228	K16259
bin_49	APKKBAMP_00230	K16257
bin_49	APKKBAMP_00701	K16255
bin_49	APKKBAMP_00789	K16255
bin_52	PJGLABHM_00006	K00855
bin_52	PJGLABHM_03117	K00958
bin_53	BJCANHEK_00244	K16259
bin_53	BJCANHEK_00246	K16257
bin_53	BJCANHEK_00264	K08738
bin_53	BJCANHEK_00590	K16255
bin_55	JHAHOKBP_00750	K00362
bin_55	JHAHOKBP_00986	K00363
bin_55	JHAHOKBP_04041	K00958
bin_57	MIKHIFNA_02964	K00370
bin_57	MIKHIFNA_02966	K00371
bin_57	MIKHIFNA_03893	K07218
bin_58	KDKMPMAC_00060	K04561
bin_58	KDKMPMAC_00061	K02305
bin_58	KDKMPMAC_00064	K00368
bin_58	KDKMPMAC_00078	K00362
bin_58	KDKMPMAC_00079	K00363
bin_58	KDKMPMAC_00080	K00362
bin_58	KDKMPMAC_00275	K10946
bin_58	KDKMPMAC_00276	K10945
bin_58	KDKMPMAC_00277	K10944
bin_58	KDKMPMAC_01333	K02305
bin_58	KDKMPMAC_01334	K04561
bin_59	FMHNMKLJ_00106	K00376
bin_59	FMHNMKLJ_00286	K00855
bin_59	FMHNMKLJ_00495	K08738
bin_59	FMHNMKLJ_00943	K00371
bin_59	FMHNMKLJ_00944	K00370
bin_59	FMHNMKLJ_01032	K00362
