/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/94256.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/DNA_BINS/maxbin2_bins/bin.100.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	48596	16891	65486	48596	48596	100.00	52325	65486	92.87	74.21	Ga0136514_101	NODE_718_length_65486_cov_25.976235
48542	52325	1	3812	3784	3812	99.27	52325	14819	7.23	25.72	Ga0136514_101	NODE_6300_length_14819_cov_24.704619
959	8535	7577	1	7577	7577	100.00	35064	7577	21.61	100.00	Ga0136514_104	NODE_14497_length_7577_cov_26.146637
8481	11016	1	2536	2536	2536	99.84	35064	2536	7.23	100.00	Ga0136514_104	NODE_65617_length_2536_cov_18.711407
10962	13545	2584	1	2584	2584	100.00	35064	2584	7.37	100.00	Ga0136514_104	NODE_63813_length_2584_cov_23.008304
13491	33576	20096	1	20086	20096	99.91	35064	20096	57.28	100.00	Ga0136514_104	NODE_4254_length_20096_cov_24.966918
33522	35064	5448	3906	1543	1543	99.94	35064	5448	4.40	28.32	Ga0136514_104	NODE_22622_length_5448_cov_16.705544
250	2110	1861	1	1861	1861	87.75	5252	1861	35.43	100.00	Ga0136514_105	NODE_103242_length_1861_cov_16.633998
2680	5252	1	2580	2573	2580	91.40	5252	10033	48.99	25.72	Ga0136514_105	NODE_10129_length_10033_cov_17.440770
1711	14785	13359	285	13075	13075	99.79	14785	32069	88.43	40.77	Ga0136514_106	NODE_2288_length_32069_cov_26.215406
46	6162	38687	32571	6117	6117	100.00	6162	38687	99.27	15.81	Ga0136514_107	NODE_1746_length_38687_cov_23.914449
675	13402	5976	18707	12728	12732	99.97	49197	61032	25.87	20.86	Ga0136514_108	NODE_812_length_61032_cov_25.186972
13410	49197	18870	54657	35788	35788	99.94	49197	61032	72.74	58.64	Ga0136514_108	NODE_812_length_61032_cov_25.186972
179	3240	1	3062	3062	3062	100.00	9256	3062	33.08	100.00	Ga0136514_109	NODE_50206_length_3062_cov_15.692717
3186	5358	1	2181	2173	2181	99.63	9256	2181	23.48	100.00	Ga0136514_109	NODE_81662_length_2181_cov_26.789276
5304	9256	1	3965	3953	3965	99.70	9256	5448	42.71	72.78	Ga0136514_109	NODE_22622_length_5448_cov_16.705544
1	1537	1537	1	1537	1537	100.00	12571	15156	12.23	10.14	Ga0136514_110	NODE_6121_length_15156_cov_25.186279
1954	7184	5231	1	5231	5231	99.66	12571	5231	41.61	100.00	Ga0136514_110	NODE_23833_length_5231_cov_13.103168
1	1301	3848	2548	1301	1301	99.77	3134	6040	41.51	21.54	Ga0136514_112	NODE_19661_length_6040_cov_25.753216
1544	3134	2447	857	1591	1591	97.49	3134	6040	50.77	26.34	Ga0136514_112	NODE_19661_length_6040_cov_25.753216
1	9803	2208	12010	9803	9803	99.96	9803	14895	100.00	65.81	Ga0136514_113	NODE_6269_length_14895_cov_16.340027
1	5815	31654	37470	5815	5817	99.97	6122	37470	94.99	15.52	Ga0136514_114	NODE_1818_length_37470_cov_23.926420
1	3954	1	3954	3954	3954	99.97	3954	4014	100.00	98.51	Ga0136514_115	NODE_34368_length_4014_cov_15.002273
1	13719	1438	15156	13719	13719	100.00	13764	15156	99.67	90.52	Ga0136514_117	NODE_6121_length_15156_cov_25.186279
1	8678	205	8882	8678	8678	100.00	8678	13291	100.00	65.29	Ga0136514_118	NODE_7205_length_13291_cov_25.607888
46	3105	1	3060	3060	3060	100.00	20028	3060	15.28	100.00	Ga0136514_119	NODE_50248_length_3060_cov_12.424958
3051	20028	1	16990	16978	16990	99.86	20028	65486	84.77	25.94	Ga0136514_119	NODE_718_length_65486_cov_25.976235
1	9348	20780	30127	9348	9348	99.95	9348	107090	100.00	8.73	Ga0136514_126	NODE_301_length_107090_cov_25.237969
